,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA_x,npv_per_nfa,NFA_y
60,w99055100,sfh,15744.323611141372,17493.69290126819,19680.404513926715,r1,-28230.563301673767,-35916.28081812654,-7685.717516452776,85.6876405166462,-89.69458687521805,85.6876405166462
61,w99055110,sfh,52473.960066172556,58304.40007352506,65592.45008271569,r2,-86611.28876527665,-110191.04847720447,-23579.75971192782,94.65369866762775,-249.11609418166634,94.65369866762775
62,w99055113,education,153671.86244078857,170746.51382309842,192089.8280509857,nr2,-237039.45221581208,-301587.3019869918,-64547.849771179695,801.3236896117684,-80.55153068350238,801.3236896117684
63,w99055118,other,24020.58101149931,26689.534457221456,30025.726264374138,nr1,-40249.20764729739,-51209.407666074956,-10960.200018777563,54.3237798044458,-201.75694802961027,54.3237798044458
64,w99055131,th,174492.9614592318,193881.0682880353,218116.20182403974,r2,-288010.66764153907,-366421.0277028486,-78410.36006130953,500.74276516167447,-156.58810374622834,500.74276516167447
65,w99055135,ab,134760.33544465396,149733.70604961552,168450.41930581743,r2,-222429.68345792333,-282985.74449232174,-60556.061034398415,663.0715527065098,-91.32658577678701,663.0715527065098
66,w99055142,sfh,30373.370700461764,33748.18966717974,37966.7133755772,r1,-54461.365595776675,-69288.36947297463,-14827.00387719796,64.54166975589469,-229.72761524881042,64.54166975589469
67,w99055146,sfh,45007.11390865703,50007.90434295226,56258.89238582129,r1,-80700.5883266315,-102671.1710125697,-21970.582685938192,149.08371188635937,-147.37077852398457,149.08371188635937
68,w99055147,sfh,9628.24002989865,10698.044477665168,12035.300037373312,r1,-17264.040447912168,-21964.142838975717,-4700.102391063549,57.659734526090325,-81.51446463800158,57.659734526090325
69,w99055152,other,264252.3847284261,293613.76080936234,330315.48091053264,nr2,-407610.3427644949,-518606.09019808023,-110995.74743358535,1635.3717537612654,-67.87187511237198,1635.3717537612654
70,w99055158,trade,144743.79539184985,160826.4393242776,180929.7442398123,nr2,-223267.8736781867,-284065.6060142766,-60797.73233608992,567.1104306213557,-107.2061613634522,567.1104306213557
71,w99055160,ab,101699.20767706775,112999.1196411864,127124.00959633468,r2,-167860.39079594155,-213560.06501329885,-45699.6742173573,362.3993257842958,-126.10308840518722,362.3993257842958
72,w99055171,sfh,36534.23113964701,40593.59015516334,45667.78892455876,r1,-65508.17617442358,-83342.6533584049,-17834.477183981326,150.93386064656082,-118.16087594647837,150.93386064656082
73,w99055172,sfh,34959.915482691984,38844.350536324426,43699.89435336498,r1,-62685.32910215973,-79751.29150456462,-17065.96240240489,71.28885925472714,-239.39171675374018,71.28885925472714
74,w99055173,ab,103778.03118873315,115308.92354303683,129722.53898591643,r2,-171291.60855106896,-217925.4253188792,-46633.81676781023,413.9677898917347,-112.6508339694893,413.9677898917347
75,w99055181,other,55355.73112876553,61506.36792085059,69194.66391095691,nr2,-85386.4329836193,-108637.8816230872,-23251.448639467897,184.62117180265486,-125.94139887879068,184.62117180265486
76,w99055182,sfh,41072.2949799907,45635.88331110078,51340.36872498837,r1,-73645.21030024665,-93694.97964983294,-20049.76934958629,84.81555104400032,-236.3926084638057,84.81555104400032
77,w99055185,education,27137.63133712484,30152.92370791649,33922.039171406046,nr1,-45472.17897106001,-57854.6383024286,-12382.459331368584,136.9722994968528,-90.40119335700497,136.9722994968528
78,w99055186,sfh,8077.381808901094,8974.86867655677,10096.727261126367,r1,-14483.254034908634,-18426.292579404584,-3943.03854449595,41.49024544628337,-95.0353149778525,41.49024544628337
79,w99055192,ab,56573.984423398244,62859.982692664715,70717.4805292478,r2,-93378.6147513568,-118800.7661759459,-25422.1514245891,160.51305735595523,-158.3805818875701,160.51305735595523
80,w99055193,other,37451.259490311946,41612.510544791054,46814.07436288993,nr1,-62753.83260532943,-79842.23253922179,-17088.39993389236,133.23216011486946,-128.2603233270343,133.23216011486946
81,w99055199,ab,144875.40265854934,160972.66962061037,181094.25332318665,r2,-239125.18359242982,-304226.5629918397,-65101.379399409896,594.2030242990702,-109.56083482780039,594.2030242990702
