,full_id,building_usage,yearly_demand_unrenovated,consumer_size,initial_gas_price,renovation_costs,yearly_demand_renovated,npv_savings_30years_ir_0.03,npv_unrenovated_30years_ir_0.03,npv_renovated_30years_ir_0.03
682,w160032067,mfh,208672.0383064988,r2,0.1054,255301.0694797072,82068.33429355826,35308.803052332834,-478991.9451886982,-443683.14213636535
683,w160032068,mfh,106087.62261479415,r2,0.1054,144686.22614325388,55797.50842459628,-29248.816247716255,-243516.65479045745,-272765.4710381737
684,w160032069,mfh,113772.82834525057,r2,0.1054,139267.24854459814,56337.525071553566,-7428.561095911107,-261157.5024664635,-268586.0635623746
685,w160032070,mfh,126481.71328949532,r2,0.1054,173250.35206386598,64738.30461673968,-31522.71254512685,-290329.8514310233,-321852.5639761501
686,w160032071,mfh,44822.51475552269,r1,0.1145,83886.01500302945,21296.262178485253,-25220.676201768976,-111769.94744261823,-136990.6236443872
687,w160032072,mfh,71600.48929692316,r2,0.1054,96040.18225699072,31840.051021962732,-4772.900711079215,-164353.87281942164,-169126.77353050085
688,w160032074,mfh,142328.92568103445,r2,0.1054,190056.78996876752,66119.07190804384,-15122.446117418061,-326706.0096879935,-341828.45580541156
689,w160032075,mfh,29809.11773282239,r1,0.1145,90795.31627611104,19824.58853199762,-65897.7773918616,-74332.36489476223,-140230.14228662383
690,w160032079,mfh,56450.435111772305,r2,0.1054,,56450.435111772305,,-129577.9920509556,
691,w160032080,mfh,71168.27026353273,r2,0.1054,129647.80151725753,37513.62238413698,-52395.931150635326,-163361.74451497116,-215757.67566560648
692,w160032082,mfh,39843.43060518983,r1,0.1145,84193.73002766154,18641.24062010344,-31323.70090887975,-99354.04492508915,-130677.7458339689
693,w160032083,mfh,70958.4029590656,r2,0.1054,97459.18283633392,30643.0030164966,-4918.025926812086,-162880.00892061918,-167798.03484743126
694,w160032087,mfh,60767.66004008141,r2,0.1054,,60767.66004008141,,-139487.8773571534,
695,w160032089,mfh,80225.85122803085,r2,0.1054,148516.56283948084,36712.527765060455,-48634.79805535785,-184152.78273982735,-232787.5807951852
696,w160032093,mfh,157120.4437098115,r2,0.1054,199624.69045625685,70334.93715781553,-414.6816074938397,-360658.8959989571,-361073.57760645094
697,w160032096,mfh,99761.42909774302,r2,0.1054,168065.93334697047,47555.89860683755,-48231.820437613234,-228995.32379199524,-277227.1442296085
698,w160032097,th,30326.745284288674,r1,0.1145,64712.46076622746,7948.649698139474,-8910.179676641696,-75623.12701593725,-84533.30669257895
699,w160032099,mfh,40170.97328365638,r1,0.1145,73204.88217548942,19916.581628132146,-22698.294065298265,-100170.80918200561,-122869.10324730388
700,w160032101,mfh,95809.37401431223,r2,0.1054,157437.1426291505,46112.95125263289,-43362.5095315768,-219923.66010735274,-263286.16963892954
701,w160032104,th,23217.322601340376,r1,0.1145,64036.45203846198,12429.560392323068,-37135.96192312852,-57894.987397832025,-95030.94932096054
702,w160032105,mfh,20848.956423449432,r1,0.1145,,20848.956423449432,,-51989.201774879446,
703,w160032106,mfh,49997.22428140238,r1,0.1145,86822.41609778698,13210.000451569256,4910.635839323892,-124673.66368640898,-119763.02784708509
