,south G(i) [kWh/m2],south_east G(i) [kWh/m2],east G(i) [kWh/m2],north_east G(i) [kWh/m2],north G(i) [kWh/m2],north_west G(i) [kWh/m2],west G(i) [kWh/m2],south_west G(i) [kWh/m2]
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,93.39,143.31,115.17,25.44,7.3,7.3,7.3,7.3
200,575.84,734.38,481.84,19.15,19.15,19.15,19.15,99.09
201,250.2,260.46,163.55,57.0,57.0,57.0,57.0,138.78
202,32.92,32.92,32.92,25.08,25.08,25.08,25.08,32.92
203,160.14,138.69,70.22,70.22,70.22,70.22,96.12,142.51
204,52.07,52.07,39.67,39.67,39.67,39.67,52.07,52.07
205,60.3,54.11,39.22,39.22,39.22,39.22,56.78,61.41
206,32.19,26.05,19.61,19.61,19.61,19.61,31.86,34.6
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,4.79,4.79,4.79,4.79,3.65,3.65,3.65,3.65
224,194.4,237.79,169.6,34.66,34.66,34.66,34.66,64.84
225,144.2,148.62,108.4,54.26,54.26,54.26,54.26,97.74
226,576.08,509.48,195.59,60.19,60.19,60.19,60.19,356.39
227,832.2,587.46,40.58,40.58,40.58,40.58,97.88,629.41
228,876.02,457.87,25.08,25.08,25.08,25.08,300.42,810.8
229,709.41,236.02,25.54,25.54,25.54,25.54,439.31,793.62
230,508.57,43.48,15.05,15.05,15.05,15.05,483.36,690.77
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,35.24,51.15,42.44,14.23,6.84,6.84,6.84,6.84
248,53.36,58.13,50.73,28.27,28.27,28.27,28.27,39.2
249,55.45,55.7,53.52,39.22,39.22,39.22,39.22,52.92
250,31.72,31.72,31.72,24.17,24.17,24.17,24.17,31.72
251,62.24,62.24,47.42,47.42,47.42,47.42,62.24,62.24
252,18.55,18.55,14.14,14.14,14.14,14.14,18.55,18.55
253,58.82,52.84,38.3,38.3,38.3,38.3,55.4,59.88
254,31.25,25.44,19.15,19.15,19.15,19.15,30.94,33.53
255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
