,time,G(i),H_sun,T2m,WS10m,Int
204,20150109:1210,52.07,17.98,6.77,4.41,0.0
205,20150109:1310,56.78,13.94,7.4,4.5,0.0
206,20150109:1410,31.86,7.91,8.03,4.58,0.0
207,20150109:1510,0.0,0.33,8.66,4.66,1.0
208,20150109:1610,0.0,0.0,8.68,6.34,0.0
209,20150109:1710,0.0,0.0,8.7,8.03,0.0
210,20150109:1810,0.0,0.0,8.72,9.71,0.0
211,20150109:1910,0.0,0.0,8.41,9.85,0.0
212,20150109:2010,0.0,0.0,8.1,9.99,0.0
213,20150109:2110,0.0,0.0,7.79,10.12,0.0
214,20150109:2210,0.0,0.0,7.87,9.6,0.0
215,20150109:2310,0.0,0.0,7.94,9.07,0.0
216,20150110:0010,0.0,0.0,8.01,8.54,0.0
217,20150110:0110,0.0,0.0,8.64,8.21,0.0
218,20150110:0210,0.0,0.0,9.28,7.88,0.0
219,20150110:0310,0.0,0.0,9.91,7.54,0.0
220,20150110:0410,0.0,0.0,9.83,7.86,0.0
221,20150110:0510,0.0,0.0,9.76,8.18,0.0
222,20150110:0610,0.0,0.0,9.68,8.5,0.0
223,20150110:0710,3.65,2.92,10.01,9.31,0.0
224,20150110:0810,34.66,10.08,10.34,10.12,0.0
225,20150110:0910,54.26,15.55,10.67,10.94,0.0
226,20150110:1010,60.19,18.9,11.07,10.91,0.0
227,20150110:1110,97.88,19.79,11.46,10.87,0.0
228,20150110:1210,300.42,18.14,11.86,10.84,0.0
229,20150110:1310,439.31,14.11,12.7,10.46,0.0
230,20150110:1410,483.36,8.08,13.53,10.09,0.0
231,20150110:1510,0.0,0.5,14.37,9.71,1.0
232,20150110:1610,0.0,0.0,13.83,9.8,0.0
233,20150110:1710,0.0,0.0,13.29,9.89,0.0
234,20150110:1810,0.0,0.0,12.75,9.99,0.0
235,20150110:1910,0.0,0.0,12.27,9.75,0.0
236,20150110:2010,0.0,0.0,11.79,9.51,0.0
237,20150110:2110,0.0,0.0,11.31,9.27,0.0
238,20150110:2210,0.0,0.0,10.79,8.9,0.0
239,20150110:2310,0.0,0.0,10.27,8.53,0.0
240,20150111:0010,0.0,0.0,9.75,8.17,0.0
241,20150111:0110,0.0,0.0,9.83,7.0,0.0
242,20150111:0210,0.0,0.0,9.91,5.83,0.0
243,20150111:0310,0.0,0.0,9.99,4.66,0.0
244,20150111:0410,0.0,0.0,9.2,4.01,0.0
245,20150111:0510,0.0,0.0,8.42,3.36,0.0
246,20150111:0610,0.0,0.0,7.63,2.7,0.0
247,20150111:0710,6.84,2.99,7.02,3.56,0.0
248,20150111:0810,28.27,10.17,6.42,4.41,0.0
249,20150111:0910,39.22,15.66,5.81,5.27,0.0
250,20150111:1010,24.17,19.04,5.04,6.9,0.0
251,20150111:1110,62.24,19.95,4.26,8.52,0.0
252,20150111:1210,18.55,18.31,3.49,10.15,0.0
253,20150111:1310,55.4,14.28,3.14,10.25,0.0
254,20150111:1410,30.94,8.26,2.79,10.35,0.0
255,20150111:1510,0.0,0.68,2.45,10.46,1.0
256,20150111:1610,0.0,0.0,2.27,9.68,0.0
257,20150111:1710,0.0,0.0,2.09,8.91,0.0
258,20150111:1810,0.0,0.0,1.91,8.14,0.0
259,20150111:1910,0.0,0.0,1.85,8.11,0.0
260,20150111:2010,0.0,0.0,1.79,8.09,0.0
261,20150111:2110,0.0,0.0,1.73,8.07,0.0
262,20150111:2210,0.0,0.0,1.75,7.53,0.0
263,20150111:2310,0.0,0.0,1.76,6.99,0.0
264,20150112:0010,0.0,0.0,1.78,6.46,0.0
265,20150112:0110,0.0,0.0,2.01,7.67,0.0
266,20150112:0210,0.0,0.0,2.23,8.89,0.0
267,20150112:0310,0.0,0.0,2.46,10.11,0.0
268,20150112:0410,0.0,0.0,2.56,9.63,0.0
269,20150112:0510,0.0,0.0,2.66,9.14,0.0
270,20150112:0610,0.0,0.0,2.76,8.66,0.0
271,20150112:0710,7.75,3.08,3.19,8.2,0.0
272,20150112:0810,35.11,10.27,3.62,7.73,0.0
273,20150112:0910,41.5,15.79,4.05,7.27,0.0
274,20150112:1010,70.68,19.18,4.44,7.18,0.0
275,20150112:1110,101.52,20.11,4.83,7.09,0.0
276,20150112:1210,204.74,18.48,5.22,7.01,0.0
277,20150112:1310,173.64,14.46,5.5,5.83,0.0
278,20150112:1410,69.29,8.44,5.78,4.66,0.0
279,20150112:1510,0.0,0.86,6.06,3.49,1.0
280,20150112:1610,0.0,0.0,5.8,3.0,0.0
281,20150112:1710,0.0,0.0,5.54,2.51,0.0
282,20150112:1810,0.0,0.0,5.28,2.03,0.0
283,20150112:1910,0.0,0.0,4.81,2.05,0.0
284,20150112:2010,0.0,0.0,4.33,2.07,0.0
285,20150112:2110,0.0,0.0,3.86,2.1,0.0
286,20150112:2210,0.0,0.0,3.03,2.48,0.0
287,20150112:2310,0.0,0.0,2.2,2.86,0.0
288,20150113:0010,0.0,0.0,1.37,3.24,0.0
289,20150113:0110,0.0,0.0,2.0,3.09,0.0
290,20150113:0210,0.0,0.0,2.64,2.95,0.0
291,20150113:0310,0.0,0.0,3.27,2.8,0.0
292,20150113:0410,0.0,0.0,2.42,2.65,0.0
293,20150113:0510,0.0,0.0,1.58,2.5,0.0
294,20150113:0610,0.0,0.0,0.73,2.34,0.0
295,20150113:0710,7.3,3.16,1.27,1.95,0.0
296,20150113:0810,24.62,10.38,1.82,1.56,0.0
297,20150113:0910,49.25,15.92,2.37,1.17,0.0
298,20150113:1010,27.36,19.33,4.18,1.39,0.0
299,20150113:1110,80.88,20.28,5.98,1.61,0.0
300,20150113:1210,293.55,18.66,7.79,1.83,0.0
301,20150113:1310,311.99,14.65,7.0,1.99,0.0
302,20150113:1410,286.04,8.63,6.21,2.14,0.0
303,20150113:1510,0.0,1.05,5.43,2.29,1.0
304,20150113:1610,0.0,0.0,4.11,2.51,0.0
305,20150113:1710,0.0,0.0,2.79,2.73,0.0
306,20150113:1810,0.0,0.0,1.48,2.95,0.0
307,20150113:1910,0.0,0.0,0.88,2.51,0.0
308,20150113:2010,0.0,0.0,0.27,2.06,0.0
309,20150113:2110,0.0,0.0,-0.33,1.61,0.0
310,20150113:2210,0.0,0.0,-0.69,1.7,0.0
311,20150113:2310,0.0,0.0,-1.06,1.79,0.0
312,20150114:0010,0.0,0.0,-1.43,1.88,0.0
313,20150114:0110,0.0,0.0,-1.11,1.74,0.0
314,20150114:0210,0.0,0.0,-0.79,1.6,0.0
315,20150114:0310,0.0,0.0,-0.47,1.46,0.0
316,20150114:0410,0.0,0.0,-0.64,1.72,0.0
317,20150114:0510,0.0,0.0,-0.81,1.99,0.0
318,20150114:0610,0.0,0.0,-0.98,2.25,0.0
319,20150114:0710,7.3,3.26,0.13,2.09,0.0
320,20150114:0810,25.54,10.49,1.24,1.93,0.0
321,20150114:0910,51.98,16.05,2.35,1.77,0.0
322,20150114:1010,60.19,19.49,3.91,1.41,0.0
323,20150114:1110,83.52,20.46,5.46,1.05,0.0
324,20150114:1210,140.33,18.85,7.02,0.69,0.0
325,20150114:1310,193.5,14.84,6.68,1.39,0.0
326,20150114:1410,25.14,8.82,6.34,2.1,0.0
327,20150114:1510,0.0,1.24,6.0,2.8,1.0
328,20150114:1610,0.0,0.0,5.44,3.6,0.0
329,20150114:1710,0.0,0.0,4.88,4.41,0.0
330,20150114:1810,0.0,0.0,4.33,5.21,0.0
331,20150114:1910,0.0,0.0,4.12,4.66,0.0
332,20150114:2010,0.0,0.0,3.9,4.11,0.0
333,20150114:2110,0.0,0.0,3.69,3.56,0.0
334,20150114:2210,0.0,0.0,3.37,5.11,0.0
335,20150114:2310,0.0,0.0,3.05,6.66,0.0
336,20150115:0010,0.0,0.0,2.73,8.21,0.0
337,20150115:0110,0.0,0.0,2.62,7.15,0.0
338,20150115:0210,0.0,0.0,2.5,6.09,0.0
339,20150115:0310,0.0,0.0,2.39,5.03,0.0
340,20150115:0410,0.0,0.0,1.27,4.41,0.0
341,20150115:0510,0.0,0.0,0.16,3.79,0.0
342,20150115:0610,0.0,0.0,-0.96,3.17,0.0
343,20150115:0710,8.66,3.36,0.27,2.91,0.0
344,20150115:0810,20.06,10.61,1.5,2.65,0.0
345,20150115:0910,31.92,16.2,2.73,2.39,0.0
346,20150115:1010,73.87,19.65,3.66,3.4,0.0
347,20150115:1110,96.23,20.64,4.6,4.42,0.0
