,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.09052631578947369,npv_DH_25years_ir_0.09052631578947369,savings_npv_25years_ir_0.09052631578947369,operator_selling_price,savings/NFA [€/m2]
533,w159872767,364.5254709209315,mfh,40683.024123107185,45203.36013678576,50853.78015388398,r1,-50623.51700040478,-182012.22151038324,-131388.70450997847,0.12851660721069608,-360.4376511140362
534,w159872769,563.4171857964247,other,34660.12650345205,38511.25167050227,43325.15812931506,nr1,-40303.94153626129,-281312.6209933073,-241008.67945704603,0.12851147942285265,-427.76238555159705
535,w159872774,2747.8572637828997,other,118913.15909633858,132125.7323292651,148641.44887042322,nr2,-127291.60029619023,-864340.058953217,-737048.4586570268,0.11830262358085035,-268.22661728882974
536,w159872776,80.53474041707815,sfh,12308.027462520942,13675.586069467714,15385.034328151178,r1,-15315.371728634173,-93525.91793787309,-78210.54620923892,0.12851660721069608,-971.1404768202821
537,w159872779,530.1892838459462,trade,41591.04775372629,46212.275281918104,51988.80969215786,nr1,-48363.446017171445,-311727.30550794315,-263363.8594907717,0.12851147942285265,-496.7355386369818
538,w159872782,386.9254036822822,mfh,34721.102201673304,38579.00244630367,43401.37775209163,r1,-43204.85867177355,-149871.80631070718,-106666.94763893363,0.12851660721069608,-275.6783261678045
539,w159872787,649.6997715241275,sfh,70631.82096414319,78479.80107127021,88289.77620517898,r2,-80904.86040171717,-323668.0512950558,-242763.1908933386,0.11830262358085035,-373.6544193694906
540,w159872789,103.62989482581615,mfh,12239.60946252805,13599.56606947561,15299.51182816006,r1,-15230.236469876289,-83634.67770487333,-68404.44123499705,0.12851660721069608,-660.0840553777753
541,w159872791,7102.280937734339,other,340782.0633145294,378646.7370161438,425977.57914316177,nr2,-364793.05167900235,-1949717.3334077618,-1584924.2817287594,0.11830262358085035,-223.15708089046075
542,w159872796,295.65545302389654,other,15107.316484111449,16785.907204568277,18884.14560513931,nr1,-17567.287305912785,-149677.74119713562,-132110.45389122283,0.12851147942285265,-446.83922633601793
543,w159872797,3172.659030787088,other,124045.28287231294,137828.0920803477,155056.60359039117,nr2,-132785.3257453026,-957446.6204859864,-824661.2947406837,0.11830262358085035,-259.9274888156191
544,w159872802,393.79842739673325,mfh,53157.31133284165,59063.679258712946,66446.63916605206,r2,-60888.772142763395,-73126.49521331016,-12237.723070546766,0.11830262358085035,-31.07610955037624
545,w159872803,375.97314485982065,mfh,40894.17879425263,45437.976438058475,51117.723492815785,r1,-50886.265218238834,-212154.21424685096,-161267.9490286121,0.12851660721069608,-428.934755669158
546,w159872804,664.4021281981841,mfh,65778.89798033336,73087.66442259263,82223.6224754167,r2,-75346.1044304569,-308432.2159907801,-233086.11156032322,0.11830262358085035,-350.82083826618344
547,w159872808,295.65545226749964,other,15818.74700894492,17576.385565494355,19773.43376118115,nr1,-18394.562251869604,-141914.24245407752,-123519.68020220792,0.12851147942285265,-417.78252102197405
548,w159872809,678.8678823016584,other,34528.37101570987,38364.856684122075,43160.46376963733,nr1,-40150.73189709529,-297753.5982707699,-257602.8663736746,0.12851147942285265,-379.45949880599517
549,w159872812,337.05531151816245,mfh,38044.21435381275,42271.34928201416,47555.267942265935,r1,-47339.940272861626,-195772.55482319556,-148432.61455033394,0.12851660721069608,-440.3805828834581
550,w159872814,765.4437305399682,mfh,75391.87270342481,83768.7474482498,94239.84087928101,r2,-86357.23747786584,-332090.9410232377,-245733.70354537189,0.11830262358085035,-321.03431479153085
551,w159872815,1229.117813373683,mfh,150246.33228938514,166940.36921042795,187807.91536173143,r2,-172098.8978312429,-714871.0233776052,-542772.1255463624,0.11830262358085035,-441.59487368957844
552,w159872820,336.8380303993821,mfh,39006.76992622275,43340.85547358083,48758.46240777843,r1,-48537.68673920791,-206521.11053443735,-157983.42379522944,0.12851660721069608,-469.01896323260075
553,w159872826,1791.1392054180615,th,181594.43625617475,201771.59584019418,226993.04532021843,r2,-208006.42422192113,-773882.623268263,-565876.1990463418,0.11830262358085035,-315.93088763542715
554,w159872827,157.03123329076917,th,21923.44558647294,24359.383984969932,27404.306983091174,r1,-27280.22177004026,-134644.49344256782,-107364.27167252757,0.12851660721069608,-683.7128475818881
555,w159872832,35.670331929810345,sfh,4614.786584903624,5127.540649892916,5768.48323112953,r0,-7046.306736012757,-49656.04224053468,-42609.73550452193,0.15769941758168385,-1194.54272498407
556,w159872833,162.84196072258055,mfh,21250.176617647467,23611.30735294163,26562.720772059332,r1,-26442.446215645756,-31756.978315852666,-5314.53210020691,0.12851660721069608,-32.63613430239156
557,w159872834,33.79703346360475,sfh,4557.6357583757635,5064.039731528626,5697.044697969704,r0,-6959.043273981963,-8357.705809387744,-1398.6625354057815,0.15769941758168385,-41.384180564603966
558,w159872835,42.916394099872555,th,6612.325558072816,7347.028397858685,8265.40694759102,r1,-8227.981634019796,-46772.79525257086,-38544.81361855107,0.12851660721069608,-898.1372835949777
559,w159872839,58.88304680213332,other,5207.764248147631,5786.404720164035,6509.705310184539,nr1,-6055.760522716762,-63814.53985757165,-57758.77933485489,0.12851147942285265,-980.9067715015436
560,w159872840,318.65718863122163,other,26614.504461671324,29571.67162407925,33268.130577089156,nr1,-30948.22610451037,-208728.58847911604,-177780.36237460567,0.12851147942285265,-557.9047600910986
561,w159872842,48.8293092939537,other,2383.9430893684703,2648.8256548538557,2979.9288617105876,nr0,-3399.09511643972,-27582.65319470301,-24183.55807826329,0.15757669252596515,-495.26725706230343
562,w159872843,143.51003436879253,mfh,16507.722777787814,18341.914197542017,20634.653472234768,r1,-20541.220882462887,-114055.86696803955,-93514.64608557666,0.12851660721069608,-651.6244421296872
563,w159872845,162.83680398128925,mfh,22625.258566183376,25139.176184648197,28281.57320772922,r1,-28153.51578087799,-136934.166018919,-108780.65023804101,0.12851660721069608,-668.0347905289301
564,w159872848,156.42925329236314,mfh,19961.24581334513,22179.16201482792,24951.55726668141,r1,-24838.577971080238,-123008.18999337175,-98169.61202229152,0.12851660721069608,-627.565560508139
565,w159872851,167.48750086340587,mfh,18119.59275660289,20132.880840669877,22649.490945753612,r1,-22546.935281374554,-117520.79882693446,-94973.86354555991,0.12851660721069608,-567.0504548456764
566,w159872853,143.46053532976657,th,17545.250951113143,19494.723279014604,21931.563688891427,r1,-21832.258760124038,-100601.99387084875,-78769.73511072471,0.12851660721069608,-549.069016992444
567,w159872855,384.2727038262412,other,36167.2957484589,40185.88416495433,45209.11968557362,nr1,-42056.52778634198,-270662.44702108705,-228605.91923474506,0.12851147942285265,-594.905432934719
568,w159872857,315.41669200100006,mfh,33121.681383552765,36801.86820394752,41402.101729440954,r1,-41214.63526232604,-179332.97710550256,-138118.34184317652,0.12851660721069608,-437.89166948316927
569,w159872858,136.24142913175746,other,12822.915841105581,14247.68426789509,16028.644801381975,nr1,-14910.910678091293,-140190.67567160624,-125279.76499351494,0.12851147942285265,-919.5423579442812
570,w159872860,131.01957194106652,other,10367.158774658756,11519.065305176395,12958.948468323444,nr1,-12055.275133210185,-14478.890114190357,-2423.614980980172,0.12851147942285265,-18.498114022768522
571,w159872862,156.42902136784977,mfh,19868.821167730195,22076.46796414466,24836.026459662742,r1,-24723.57028127857,-102903.4474401104,-78179.87715883182,0.12851660721069608,-499.7785991065454
572,w159872865,158.90607472276315,mfh,20611.82141344012,22902.023792711243,25764.77676680015,r1,-25648.115257487392,-113352.09541362447,-87703.98015613708,0.12851660721069608,-551.923394427498
573,w159872867,192.56274920739233,mfh,23336.185836626755,25929.095374029726,29170.232295783444,r1,-29038.15106886535,-125017.11009875174,-95978.95902988639,0.12851660721069608,-498.42952193477424
