,Diameter,Renovated_Losses_W,Renovated_Length_m,Booster_Losses_W,Booster_Length_m,Losses_Diff_W,Length_Diff_m,Renovated_Length_km,Booster_Length_km,Length_Diff_km
89,0.105,2603.127,184.96,0.0,0.0,-2603.127,-184.96,0.18496,0.0,-0.18496
90,0.106,3504.8320000000003,248.2,0.0,0.0,-3504.8320000000003,-248.2,0.24819999999999998,0.0,-0.24819999999999998
91,0.109,506.373,35.51,2004.528,140.57,1498.155,105.06,0.03551,0.14057,0.10506
92,0.11,6778.711,473.87,0.0,0.0,-6778.711,-473.87,0.47387,0.0,-0.47387
93,0.111,0.0,0.0,4235.546,295.16,4235.546,295.16,0.0,0.29516000000000003,0.29516000000000003
94,0.112,671.959,46.68,3013.881,209.37,2341.922,162.69,0.04668,0.20937,0.16269
95,0.113,1859.166,128.76,7432.475,514.75,5573.309,385.99,0.12875999999999999,0.51475,0.38599
96,0.115,4417.792,304.13,0.0,0.0,-4417.792,-304.13,0.30413,0.0,-0.30413
97,0.116,0.0,0.0,680.081,46.68,680.081,46.68,0.0,0.04668,0.04668
98,0.118,1899.451,129.62,4273.839,291.65,2374.388,162.02999999999997,0.12962,0.29164999999999996,0.16202999999999998
99,0.119,7564.766,514.75,0.0,0.0,-7564.766,-514.75,0.51475,0.0,-0.51475
100,0.12,0.0,0.0,3475.721,235.85000000000002,3475.721,235.85000000000002,0.0,0.23585000000000003,0.23585000000000003
101,0.121,2093.002,141.62,1438.883,97.36,-654.1189999999999,-44.260000000000005,0.14162,0.09736,-0.04426000000000001
102,0.122,0.0,0.0,1908.223,128.76,1908.223,128.76,0.0,0.12875999999999999,0.12875999999999999
103,0.126,1694.538,113.12,0.0,0.0,-1694.538,-113.12,0.11312,0.0,-0.11312
104,0.127,677.057,45.08,0.0,0.0,-677.057,-45.08,0.045079999999999995,0.0,-0.045079999999999995
105,0.128,0.0,0.0,678.815,45.08,678.815,45.08,0.0,0.045079999999999995,0.045079999999999995
106,0.129,2446.167,162.03,0.0,0.0,-2446.167,-162.03,0.16203,0.0,-0.16203
107,0.13,0.0,0.0,2143.419,141.62,2143.419,141.62,0.0,0.14162,0.14162
108,0.134,981.361,64.2,7075.277,462.86,6093.916,398.66,0.06420000000000001,0.46286,0.39866
109,0.136,0.0,0.0,1243.238,80.94,1243.238,80.94,0.0,0.08094,0.08094
110,0.137,4396.174,285.54,0.0,0.0,-4396.174,-285.54,0.28554,0.0,-0.28554
111,0.138,1395.824,90.45,0.0,0.0,-1395.824,-90.45,0.09045,0.0,-0.09045
112,0.139,0.0,0.0,2390.425,154.54,2390.425,154.54,0.0,0.15453999999999998,0.15453999999999998
113,0.142,1260.56,80.94,4534.993,291.19,3274.4330000000004,210.25,0.08094,0.29119,0.21025
114,0.143,0.0,0.0,5290.358,338.93,5290.358,338.93,0.0,0.33893,0.33893
115,0.144,5302.221,338.93,0.0,0.0,-5302.221,-338.93,0.33893,0.0,-0.33893
116,0.145,0.0,0.0,1418.075,90.45,1418.075,90.45,0.0,0.09045,0.09045
117,0.146,6269.245,399.01,0.0,0.0,-6269.245,-399.01,0.39901,0.0,-0.39901
118,0.149,738.783,46.72,0.0,0.0,-738.783,-46.72,0.04672,0.0,-0.04672
