,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA,npv_per_nfa,operator_selling_price
114,w99390052,education,313343.4785138492,348159.42057094356,391679.3481423115,nr2,-483333.5480068042,-550616.6880178854,-67283.14001108124,1678.6958267321402,-40.08060241744869,0.11221183382246458
115,w99390065,education,303237.21702470875,336930.2411385653,379046.5212808859,nr2,-467744.5999112564,-532857.6580365186,-65113.05812526221,2581.633286331594,-25.221652691728913,0.11221183382246458
116,w99390082,education,40072.95656433488,44525.50729370543,50091.1957054186,nr1,-67146.78337825809,-76494.04769699617,-9347.264318738089,124.21957990797236,-75.24791442430394,0.12189508851780416
117,w99390107,education,86074.09353300124,95637.88170333471,107592.61691625154,nr2,-132769.6278093634,-151252.01433923608,-18482.38652987269,332.09000708311794,-55.65475062682865,0.11221183382246458
118,w99390110,mfh,114572.26191078915,127302.51323421017,143215.32738848642,r2,-189108.1071131758,-215422.95269596798,-26314.845582792186,1066.5973296171287,-24.671771484969213,0.11221183382246458
119,w99390116,ab,171537.2907712172,190596.9897457969,214421.6134640215,r2,-283132.1631960604,-322530.68115366064,-39398.51795760024,694.0162199864862,-56.76887199893888,0.11221183382246458
120,w99390122,other,98874.38300018918,109860.42555576575,123592.97875023646,nr2,-152514.12465682725,-173745.07219868578,-21230.947541858535,307.42072394330467,-69.06153648175652,0.11221183382246458
121,w99390129,trade,150904.2748343005,167671.41648255612,188630.34354287563,nr2,-232770.4374477118,-265173.58015903574,-32403.142711323948,1196.3697846690193,-27.084554563778468,0.11221183382246458
122,w99390130,education,123263.23222122405,136959.14691247116,154079.04027653005,nr2,-190134.02050311907,-216601.89962124944,-26467.879118130368,964.417538562417,-27.44441910252275,0.11221183382246458
123,w99390133,education,972176.5982886618,1080196.2203207354,1215220.7478608273,nr2,-1499586.2264906736,-1708338.2786743976,-208752.052183724,9252.387912133521,-22.561964993919887,0.11221183382246458
124,w99390139,ab,241110.81532940577,267900.90592156193,301388.5191617572,r2,-397967.26651832537,-453345.36386857904,-55378.097350253665,1249.1388426542283,-44.333020044900465,0.11221183382246458
125,w99390141,other,30812.352442711337,34235.94715856815,38515.44055338917,nr1,-51629.590931821964,-58816.76221282671,-7187.171281004747,112.67489476799965,-63.786802692856355,0.12189508851780416
126,w99758761,trade,71701.33492410115,79668.14991566793,89626.66865512643,nr2,-110599.5911261905,-125995.76589121438,-15396.174765023883,171.36210507287177,-89.84585453403865,0.11221183382246458
127,w99758765,trade,63683.59645386957,70759.55161541063,79604.49556733695,nr2,-98232.19800159929,-111906.75206264871,-13674.55406104942,309.03573338240386,-44.24910320687217,0.11221183382246458
128,w99758770,mfh,161183.5194907484,179092.7994341649,201479.3993634355,r2,-266042.66827226465,-303063.14212127234,-37020.473849007685,601.7205038767308,-61.52436822493877,0.11221183382246458
129,w99758771,mfh,242606.4871433184,269562.763492576,303258.108929148,r2,-400435.9588603845,-456157.58065686305,-55721.621796478576,781.3335011973977,-71.31605353038734,0.11221183382246458
130,w99758774,ab,81923.45549204445,91026.06165782716,102404.31936505556,r2,-135219.374549261,-154035.47405649163,-18816.099507230625,197.5460334163159,-95.24918917291987,0.11221183382246458
131,w99758775,sfh,61870.86990849301,68745.41100943668,77338.58738561627,r2,-102121.42885815588,-116331.8700291851,-14210.441171029219,265.071225726977,-53.60989723443598,0.11221183382246458
132,w99758777,ab,112117.33481396282,124574.81645995869,140146.6685174535,r2,-185056.1087617497,-210807.10907874542,-25751.00031699572,337.6781565959565,-76.25900525099014,0.11221183382246458
133,w99758783,th,97084.55173945901,107871.72415495446,121355.68967432376,r2,-160243.63579097125,-182541.92112540687,-22298.28533443561,333.3155570875853,-66.89842361176167,0.11221183382246458
134,w99758786,mfh,64453.89180049492,71615.43533388324,80567.36475061865,r2,-106384.85503550342,-121188.56216018839,-14803.707124684966,182.17889552428386,-81.25917704178681,0.11221183382246458
135,w99758788,other,105965.71244627453,117739.68049586058,132457.14055784314,nr2,-163452.5282180492,-186206.17192147658,-22753.64370342737,349.08404515869915,-65.18099013400398,0.11221183382246458
136,w99758792,sfh,32182.799298104404,35758.66588678267,40228.49912263051,r1,-57705.78497048148,-65735.68302145846,-8029.898050976983,60.93018751584459,-131.78850055054974,0.12189995230239276
137,w99758793,ab,41738.57972555827,46376.199695064744,52173.22465694784,r1,-74839.90079005434,-85254.05205403554,-10414.151263981199,126.39461716674268,-82.39394601941483,0.12189995230239276
138,w99758796,ab,184492.8634150034,204992.0704611149,230616.07926875426,r2,-304516.0808945808,-346890.22216511995,-42374.14127053914,604.0452805191278,-70.15060399796852,0.11221183382246458
139,w99758800,ab,92842.64191888488,103158.4910209832,116053.3023986061,r2,-153242.11968807568,-174566.12730430186,-21324.007616226183,420.9761067721993,-50.653724221372826,0.11221183382246458
140,w99758801,mfh,67864.51822675424,75405.02025194916,84830.6477834428,r2,-112014.29009058054,-127601.34657269977,-15587.056482119224,293.7319820257835,-53.06557486392819,0.11221183382246458
141,w99758803,mfh,56260.4467066917,62511.60745187967,70325.55838336462,r2,-92861.10271898437,-105782.94735061319,-12921.844631628817,512.6721141899004,-25.2048907556583,0.11221183382246458
142,w99758805,sfh,44423.96297792158,49359.958864357315,55529.95372240197,r1,-79654.9619998894,-90739.1405521913,-11084.178552301892,165.76912949401884,-66.86515508728556,0.12189995230239276
143,w99758807,other,42208.61045180913,46898.4560575657,52760.76306476141,nr1,-70725.31367020059,-80570.73243250995,-9845.41876230936,110.8734177275095,-88.79873069761564,0.12189508851780416
144,w99758813,other,17174.540999496516,19082.823332773907,21468.176249370645,nr1,-28777.891201084265,-32783.9588346907,-4006.0676336064316,43.0509613757953,-93.05408068909647,0.12189508851780416
145,w99758814,th,27459.55482869497,30510.616476327745,34324.44353586871,r1,-49236.7103200731,-56088.11636953445,-6851.406049461351,84.92593946289271,-80.67506927556549,0.12189995230239276
146,w99758818,mfh,69586.56461067413,77318.40512297126,86983.20576334266,r2,-114856.62667880072,-130839.20109801492,-15982.574419214201,424.19755738042295,-37.67719578092934,0.11221183382246458
147,w99758821,sfh,25121.529345996543,27912.810384440603,31401.911682495676,r1,-45044.483456574366,-51312.53110726024,-6268.047650685876,35.03456762442365,-178.9103755433885,0.12189995230239276
148,w99758824,ab,145866.56731824548,162073.96368693942,182333.20914780683,r2,-240761.15786322288,-274263.64904787275,-33502.49118464987,478.7830200769007,-69.97426763227485,0.11221183382246458
