,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA_x,npv_per_nfa,NFA_y
54,w99055050,trade,65308.77244341692,72565.3027149077,81635.96555427114,nr2,-100739.0383573933,-147612.39520566526,-46873.35684827196,194.95880112051967,-240.42698549062052,194.95880112051967
55,w99055053,ab,49059.40863841541,54510.454042683785,61324.260798019255,r1,-87966.6078591905,-128890.90377504136,-40924.29591585086,122.33706042193808,-334.5208375508107,122.33706042193808
56,w99055057,ab,87681.8017174346,97424.2241304829,109602.25214679325,r2,-144723.8561456332,-212053.06275170716,-67329.20660607395,303.91877080444243,-221.53684824356293,303.91877080444243
57,w99055067,sfh,33001.382887256914,36668.203208063234,41251.72860907114,r1,-59173.5568736789,-86702.59557172917,-27529.038698050266,194.8848727118224,-141.25795560724535,194.8848727118224
58,w99055068,ab,132493.30677667502,147214.7853074167,165616.63347084375,r2,-218687.82226898547,-320426.94089061965,-101739.11862163417,348.37368724122643,-292.0401923213746,348.37368724122643
59,w99055094,other,66091.27134448045,73434.74593831161,82614.08918060057,nr2,-101946.04598990016,-149381.01728674726,-47434.9712968471,263.70872883694244,-179.876379162926,263.70872883694244
60,w99055100,sfh,15744.323611141372,17493.69290126819,19680.404513926715,r1,-28230.563301673767,-41364.136989978186,-13133.57368830442,85.6876405166462,-153.2726728045804,85.6876405166462
61,w99055110,sfh,52473.960066172556,58304.40007352506,65592.45008271569,r2,-86611.28876527665,-126905.05588151165,-40293.767116235,94.65369866762775,-425.69669947843,94.65369866762775
62,w99055113,education,153671.86244078857,170746.51382309842,192089.8280509857,nr2,-237039.45221581208,-347332.69118254306,-110293.23896673098,801.3236896117684,-137.638809879896,801.3236896117684
63,w99055118,other,24020.58101149931,26689.534457221456,30025.726264374138,nr1,-40249.20764729739,-58976.957124305445,-18727.749477008052,54.3237798044458,-344.74312252247574,54.3237798044458
64,w99055131,th,174492.9614592318,193881.0682880353,218116.20182403974,r2,-288010.66764153907,-422000.5312537765,-133989.86361223744,500.74276516167447,-267.58222571418725,500.74276516167447
65,w99055135,ab,134760.33544465396,149733.70604961552,168450.41930581743,r2,-222429.68345792333,-325909.61076024745,-103479.92730232413,663.0715527065098,-156.0614791570264,663.0715527065098
66,w99055142,sfh,30373.370700461764,33748.18966717974,37966.7133755772,r1,-54461.365595776675,-79798.17345803468,-25336.807862258007,64.54166975589469,-392.5651127106757,64.54166975589469
67,w99055146,sfh,45007.11390865703,50007.90434295226,56258.89238582129,r1,-80700.5883266315,-118244.54776347683,-37543.959436845325,149.08371188635937,-251.83139701715774,149.08371188635937
68,w99055147,sfh,9628.24002989865,10698.044477665168,12035.300037373312,r1,-17264.040447912168,-25295.70970500699,-8031.669257094822,57.659734526090325,-139.29424620331176,57.659734526090325
69,w99055152,other,264252.3847284261,293613.76080936234,330315.48091053264,nr2,-407610.3427644949,-597269.3405371733,-189658.99777267844,1635.3717537612654,-115.973017961496,1635.3717537612654
70,w99055158,trade,144743.79539184985,160826.4393242776,180929.7442398123,nr2,-223267.8736781867,-327153.26792370854,-103885.39424552183,567.1104306213557,-183.18371279417235,567.1104306213557
71,w99055160,ab,101699.20767706775,112999.1196411864,127124.00959633468,r2,-167860.39079594155,-245953.2998288748,-78092.90903293324,362.3993257842958,-215.48856048207725,362.3993257842958
72,w99055171,sfh,36534.23113964701,40593.59015516334,45667.78892455876,r1,-65508.17617442358,-95984.24035278911,-30476.064178365537,150.93386064656082,-201.9166809078766,150.93386064656082
73,w99055172,sfh,34959.915482691984,38844.350536324426,43699.89435336498,r1,-62685.32910215973,-91848.13326377617,-29162.804161616434,71.28885925472714,-409.0794054848431,71.28885925472714
74,w99055173,ab,103778.03118873315,115308.92354303683,129722.53898591643,r2,-171291.60855106896,-250980.8070645211,-79689.19851345214,413.9677898917347,-192.5009637447718,413.9677898917347
