u,v,MW,Diameter,Length,Losses [W],mass_flow_kg_s,velocity_m_s,Re_supply,Re_return,f_supply,f_return,dp_supply_Pa,dp_return_Pa,dp_total_Pa,dp_minor_supply_Pa,dp_minor_return_Pa,flow_regime_supply,flow_regime_return,V_dot_m3_s
60121874,60121875,0.0444975244418759,0.027,27.0,197.721,0.4258136310227359,0.7527176029426345,36901.098567797904,22550.78944620968,0.026912410206339495,0.028892056712531426,3850.373586763809,4090.0981398714316,7940.47172663524,83.97025686706125,83.21084242592374,turbulent,turbulent,0.0004287513801124893
60121874,99055023,0.15213141289808838,0.043,65.43,630.483,1.45580299424008,1.014625418504604,79216.86524511386,48410.56006636749,0.023023093306313594,0.02442030734292094,9060.848042377693,9514.63486146334,18575.48290384103,152.57128813471832,151.19145622952485,turbulent,turbulent,0.0014658467871335036
60121874,99055131,0.15083023964157535,0.043,81.06,781.094,1.4433515755174675,1.0059473721051997,78539.32689482727,47996.50668389236,0.0230438791286785,0.024448678655243222,11008.085142336857,11564.47483988255,22572.559982219405,149.97257821036447,148.61624864895933,turbulent,turbulent,0.0014533094642937997
60121874,160032136,0.07404694307810497,0.033,25.87,215.238,0.7085831873502868,0.8384998799880092,50241.24623677549,30703.14460473554,0.02517423310439123,0.026897213433498417,3531.5213211642517,3732.034799504109,7263.556120668361,104.1999105803296,103.25754217736974,turbulent,turbulent,0.0007134718040172852
60121874,160127712,0.09557218725137155,0.036,37.2,325.612,0.914566385180589,0.9093902096006667,59442.386059750585,36326.09283300636,0.024380036161652997,0.025969239754555014,5268.749001888415,5553.517620018397,10822.266621906812,122.56370627141919,121.4552584474568,turbulent,turbulent,0.0009208761093646884
60121875,99055040,0.024873078428327366,0.021,47.18,286.571,0.2380198892662906,0.6955281316018677,26520.24024297846,16206.898357877071,0.02914746793933015,0.03143215418985395,7896.598298799776,8432.980459424165,16329.57875822394,71.6953084230569,71.04690677931202,turbulent,turbulent,0.00023966202249569375
60121875,99055182,0.019624446013548534,0.02,20.32,118.486,0.1877937417564453,0.6050080662718923,21970.230811399793,13426.322476612144,0.03013981986354501,0.0326773420049725,2822.88982390929,3028.3485535317473,5851.238377441037,54.24799190382179,53.75738118055467,turbulent,turbulent,0.00018908935761679556
60121878,60121879,16.337334085068015,0.282,91.58,1738.646,156.33812521596187,2.533417253927616,1297177.1539547667,792723.5233802719,0.014083764289731468,0.014537222692064753,8202.138126829783,8359.30785934278,16561.445986172563,951.2064460489653,942.6038772515835,turbulent,turbulent,0.15741672428275036
60121878,1720870048,0.6604265962143337,0.077,67.49,845.785,6.319871734108458,1.37362078808338,192044.13074663095,117360.91674590156,0.0194305542326424,0.02039023653204345,8217.026671921545,8531.198260300665,16748.224932222212,279.6372651946945,277.1082676020676,turbulent,turbulent,0.006363473432320049
60121879,9550757616,16.122737884736583,0.281,94.03,1783.467,154.2845730596802,2.5179662474509312,1284693.9622085115,785094.8662504778,0.014098515787825318,0.014554259370482676,8327.920262305253,8489.274777889994,16817.19504019525,939.6392405091727,931.1412837882365,turbulent,turbulent,0.15534900437668722
60121879,1685932671,0.03165938071078331,0.023,156.45,1020.993,0.30296058096443357,0.7380240150973595,30820.64965572186,18834.940095471924,0.028192626769640156,0.030319629983310236,25881.59375361199,27576.476349153414,53458.0701027654,80.72393507915568,79.99387988661752,turbulent,turbulent,0.00030505074930597243
60121879,160025402,0.050961171542990784,0.028,49.73,373.174,0.48766671333005535,0.8015804034045028,40751.967522179264,24904.110576084695,0.02644053172388311,0.028319364665511482,7548.290523778701,8004.84119516811,15553.13171894681,95.22599500072025,94.36478534776266,turbulent,turbulent,0.0004910311956735336
60121879,160025434,0.13197564807765969,0.041,44.51,418.349,1.262924861987174,0.9681660298102521,72073.75614511843,44045.30386649187,0.023418531661805554,0.024880578950621172,6025.229283584928,6334.903982590051,12360.13326617498,138.91879820165096,137.66243737299678,turbulent,turbulent,0.0012716379610836462
60121881,7647383836,29.312252378836344,0.359,175.48,3542.064,280.50002276398413,2.8046846954961864,1828192.6228662836,1117234.6760794993,0.013355849491999475,0.01375570158346492,13850.592376362627,14101.656503382308,27952.248879744933,1165.8144286273296,1155.270977340908,turbulent,turbulent,0.2824352325048548
60121881,98916121,0.028198654547557638,0.022,44.47,280.383,0.26984358418715443,0.718466918550204,28699.406507070147,17538.618049081582,0.028644633652983715,0.030844195052828413,7459.136724683574,7953.447499622944,15412.584224306518,76.50236987042399,75.81049388208656,turbulent,turbulent,0.00027170527363546445
60121882,7540526731,27.95198550078411,0.352,101.86,2046.062,267.4831148400393,2.7819613111215,1778022.319322446,1086574.885569717,0.013412878800037218,0.013816787473060603,8566.852651878602,8710.792277452258,17277.64492933086,1147.000239517138,1136.6269409424228,turbulent,turbulent,0.2693285190730094
