u,v,MW,Diameter,Length,Losses [W],mass_flow_kg_s,velocity_m_s,Re_supply,Re_return,f_supply,f_return,dp_supply_Pa,dp_return_Pa,dp_total_Pa,dp_minor_supply_Pa,dp_minor_return_Pa,flow_regime_supply,flow_regime_return,V_dot_m3_s
60121858,99390082,0.012929372371994317,0.017,102.71,515.912,0.12372605140664418,0.5517004666476573,17029.258247484224,10406.823429892895,0.02781196089785203,0.031364750724715444,12678.275621018256,14162.82170833718,26841.097329355434,45.10950269655409,44.70153910255758,turbulent,turbulent,0.00012457965511591398
60121862,60121858,0.33929862972197417,0.059,106.32,1191.635,3.2468768394447287,1.201992707970136,128764.84325545128,78690.03853619302,0.017750240904435666,0.019402020156692467,11629.256416953174,12576.731119826729,24205.987536779903,214.12382986150837,212.187325977211,turbulent,turbulent,0.0032692775067430257
60121862,155463254,0.14984207028553698,0.043,142.19,1370.143,1.433895409430976,0.9993568742762241,78024.77386974572,47682.05596622049,0.019647178749355856,0.021617866457797365,16175.008481855602,17621.754798973026,33796.76328082863,148.01391470486263,146.67529900318473,turbulent,turbulent,0.0014437880587661789
60121862,155463268,0.12088358760017137,0.039,83.84,767.22,1.156780742585372,0.9800807903079268,69401.67352422464,42412.35593525504,0.020155060727726465,0.022206903504972238,10422.631254766851,11365.466682081682,21788.097936848535,142.35905316152486,141.07157918167638,turbulent,turbulent,0.001164761538233957
60121862,155463286,0.17522084766158763,0.045,65.89,649.807,1.6767545230773937,1.0670493361824593,87184.7391754016,53279.84185768694,0.01921961855799796,0.021109480609780806,8083.378918688241,8781.480443138284,16864.859361826526,168.74477592652303,167.21867341729765,turbulent,turbulent,0.0016883226921425298
60121865,1720869637,0.531959318292485,0.071,31.47,381.7,5.090519792272583,1.3013241032233138,167759.56120672505,102520.26875055555,0.01684836543425976,0.018359904808090778,3374.732761968832,3621.923342100765,6996.656104069597,250.97605268524984,248.70626281083491,turbulent,turbulent,0.005125640015761441
60121865,353900173,0.06716627508847958,0.031,101.81,815.498,0.6427394745309051,0.8618895729688257,48512.8489303625,29646.89627476498,0.021777274597552843,0.024118555332045977,13233.471405244709,14511.927780716065,27745.399185960774,110.09423805288205,109.09856223405302,turbulent,turbulent,0.0006471738260140095
60121865,160025467,0.07151955494689323,0.032,26.49,216.344,0.6843976549941936,0.8612883981455188,50042.849892011676,30581.901759093795,0.02161896559789297,0.02393526771164146,3389.188019104071,3706.7047485376843,7095.892767641755,109.94070840455204,108.94642108489448,turbulent,turbulent,0.000689119412217323
60121867,60121871,20.5835758377414,0.31,240.77,4684.18,196.9720175860421,2.6413210149873687,1486710.2630711216,908549.9188713336,0.011533714419360887,0.012299507339874298,16470.9396166881,17337.663632205604,33808.603248893705,1033.959934034422,1024.6089550716395,turbulent,turbulent,0.1983309556829284
60121867,7404841890,0.5314795673163242,0.071,125.48,1521.947,5.085928873840423,1.3001504956045455,167608.26615373578,102427.8101784091,0.016850866210555884,0.018362956619367928,12685.235533643534,13676.233510781136,26361.46904442467,250.52356803967768,248.2578703687055,turbulent,turbulent,0.0051210174239269685
60121867,8389446364,0.5227236045673256,0.07,133.65,1611.552,5.002139756625125,1.3155270497332596,167201.9281458926,102179.4912064948,0.016867859213904796,0.018379212232920553,14023.523340131916,15119.061757761265,29142.58509789318,256.484368202142,254.16476194623743,turbulent,turbulent,0.005036650233618428
60121867,99055018,0.15131585513169102,0.043,79.81,769.049,1.4479986137003926,1.009186136608235,78792.19338774023,48151.03701661958,0.019611953414619746,0.021574697517713844,9308.132391980997,10132.105268380039,19440.237660361036,150.93984111430342,149.57476377189778,turbulent,turbulent,0.0014579885630572166
60121867,99055216,0.08279253364962683,0.034,53.2,450.551,0.7922730492787257,0.8831959923356183,54522.96507202966,33319.76426293584,0.02121235080208247,0.023456959615808556,6510.6817612606865,7122.382423132455,13633.06418439314,115.60470667490645,114.55919500222711,turbulent,turbulent,0.0007977390542625596
60121867,160025437,0.03887476906550474,0.025,41.64,288.982,0.3720073594785142,0.7670285958352058,34817.294654609854,21277.347052424164,0.02346954851649692,0.026125357794999325,5767.982379125646,6352.840781119226,12120.823160244872,87.19356755717959,86.40500197636852,turbulent,turbulent,0.0003745738914118971
60121868,321680288,1.2198422616766111,0.098,82.84,1137.476,11.673131690685274,1.5663011783348346,278705.0315529559,170320.6334793137,0.015326557191241999,0.016603073905677775,8214.486612652761,8788.167059821357,17002.653672474116,363.5899630939342,360.3017098608481,turbulent,turbulent,0.011753666294325173
60121868,6957423253,0.38286978390354176,0.062,173.34,1985.61,3.663825683287481,1.228263269462931,138269.5702720226,84498.51324326977,0.017500468072078043,0.019112915053847178,18456.235315399957,19954.03529239909,38410.270607799044,223.58582481223806,221.5637480611227,turbulent,turbulent,0.003689102940241987
60121868,160032066,0.06393314095115062,0.031,52.95,424.13,0.6118003918770394,0.8204014214031399,46177.621202321636,28219.805189461753,0.0219904134089274,0.024380927686837788,6344.291827923114,6959.601861545766,13303.893689468881,99.75028495246703,98.84815829802058,turbulent,turbulent,0.0006160212902076792
60121869,7540526699,1.6505062286602006,0.111,295.16,4235.546,15.794317977609573,1.6519426294353163,332936.4912295839,203462.25462322935,0.01483621174471483,0.016042587406580648,26996.83849049145,28895.433272851224,55892.27176334267,404.4373516285003,400.7796807242853,turbulent,turbulent,0.0159032852343659
60121869,99055041,0.2663060054102208,0.054,39.11,421.136,2.548382826892065,1.1262043257229293,110421.69511784194,67480.2781906612,0.01829429150750758,0.020038103326535064,4338.986357085256,4691.841364213872,9030.827721299127,187.97310658141205,186.27310592630621,turbulent,turbulent,0.002565964484182049
60121870,60121869,1.9168122340704212,0.118,129.62,1899.451,18.34270080450164,1.6976154087245474,363717.9835834516,222273.265131137,0.014601836680246552,0.015774967235947016,11845.00928337333,12646.917472461311,24491.92675583464,427.1102104692732,423.24748962156673,turbulent,turbulent,0.01846924971854795
60121870,9862707491,0.3786466963894467,0.062,230.82,2644.043,3.6234133625784373,1.214715417176428,136744.44470624492,83566.48718313243,0.01753331590027565,0.01915304020110666,24009.257852943116,25970.01429935478,49979.2721522979,218.68068413109827,216.70296873849307,turbulent,turbulent,0.0036484118091573976
60121870,99055202,0.06254948183848912,0.03,41.17,323.061,0.5985596348180777,0.8570476283007595,46684.17313712744,28529.366326358217,0.02197011359889034,0.024343959203666516,5579.17045094073,6114.428501650707,11693.598952591437,108.86073232764512,107.87621215006244,turbulent,turbulent,0.0006026891832736462
60121871,60121870,2.358008412298357,0.128,45.08,678.815,22.564673801898156,1.7747989428819255,412479.70959959604,252072.25375483697,0.014281915611073313,0.015408817856995388,4380.362249411416,4646.748037192036,9027.110286603453,466.83096958292714,462.6090201320309,turbulent,turbulent,0.022720350710978995
60121871,6957423250,18.225567425443042,0.295,104.75,2012.143,174.40734378414393,2.5826215875910226,1383331.4532993203,845373.6487101499,0.01166538038565204,0.01244745562080737,7812.884079124946,8195.609980598267,16008.494059723213,988.5141502376823,979.5741761448578,turbulent,turbulent,0.17561060497194939
60121872,98916113,0.06615874379276224,0.031,51.95,416.12,0.6330980267249975,0.8489607524100764,47785.129349704504,29202.176424239355,0.02184209609818376,0.024198363491087376,6623.152282699379,7259.861040864405,13883.013323563784,106.81606209175023,105.85003360589786,turbulent,turbulent,0.0006374658604819134
60121873,60121872,0.06615874379276224,0.031,136.65,1094.566,0.6330980267249975,0.8489607524100764,47785.129349704504,29202.176424239355,0.02184209609818376,0.024198363491087376,17247.477169811333,18923.859737973078,36171.33690778441,106.81606209175023,105.85003360589786,turbulent,turbulent,0.0006374658604819134
60121873,160032079,0.0638997643125551,0.031,54.68,437.987,0.6114809982062689,0.8199731264478467,46153.5139278918,28205.072889045536,0.021992693608090648,0.02438373393788248,6542.148140743765,7177.074629268316,13719.222770012082,99.64616179774417,98.74497681753219,turbulent,turbulent,0.0006156996929943323
60121874,60121873,0.13005850810531736,0.04,142.28,1319.932,1.2445790249312665,1.00240341098904,72802.44854013713,44490.61821779579,0.019956851832588676,0.021972559408635527,17767.503950385966,19370.258523737473,37137.76247412344,148.91773028056622,147.57094060603262,turbulent,turbulent,0.0012531655534762458
60121874,60121875,0.0444975244418759,0.027,27.0,197.721,0.4258136310227359,0.7527176029426345,36901.098567797904,22550.78944620968,0.02312546599220396,0.025729380083938873,3320.389122760155,3651.483162228154,6971.872284988309,83.97025686706125,83.21084242592374,turbulent,turbulent,0.0004287513801124893
60121874,99055023,0.15213141289808838,0.043,65.43,630.483,1.45580299424008,1.014625418504604,79216.86524511386,48410.56006636749,0.01959266950113899,0.02155106215227335,7733.521421481862,8414.48429492446,16148.005716406322,152.57128813471832,151.19145622952485,turbulent,turbulent,0.0014658467871335036
60121874,99055131,0.15083023964157535,0.043,81.06,781.094,1.4433515755174675,1.0059473721051997,78539.32689482727,47996.50668389236,0.01962350616950895,0.0215888562307649,9396.429639607826,10229.13361943251,19625.563259040337,149.97257821036447,148.61624864895933,turbulent,turbulent,0.0014533094642937997
60121874,160032136,0.07404694307810497,0.033,25.87,215.238,0.7085831873502868,0.8384998799880092,50241.24623677549,30703.14460473554,0.021577275300202873,0.02389497600244337,3041.817009452318,3326.9946663377714,6368.81167579009,104.1999105803296,103.25754217736974,turbulent,turbulent,0.0007134718040172852
