u,v,MW,Diameter,Length,Losses [W],mass_flow_kg_s,velocity_m_s,Re_supply,Re_return,f_supply,f_return,dp_supply_Pa,dp_return_Pa,dp_total_Pa,dp_minor_supply_Pa,dp_minor_return_Pa,flow_regime_supply,flow_regime_return,V_dot_m3_s
60121878,1720870048,0.7055370521409061,0.079,67.49,854.356,6.751550738190489,1.3940854488381562,199967.74277500887,122203.14945550803,0.01629937362150963,0.017723445228579285,6972.580827176816,7488.267148065834,14460.84797524265,288.03159211180406,285.4266774823318,turbulent,turbulent,0.00679813065153874
60121879,9550757616,17.151408353216418,0.288,94.03,1794.939,164.1283096001571,2.54999049766932,1333443.1623381237,814886.200125653,0.011732634606947253,0.012523326081557372,7116.264454381067,7462.793260932902,14579.057715313967,963.6924595758186,954.9769691400102,turbulent,turbulent,0.16526065426223976
60121879,1685932671,0.052884722415491324,0.029,156.45,1201.223,0.5060738987128357,0.7754574699652208,40831.88604672282,24952.94993019017,0.022594694982357263,0.025101026883722236,18194.60308732696,20020.253456278268,38214.85654360523,89.12043640157913,88.31444450719938,turbulent,turbulent,0.0005095653748586808
60121879,160025402,0.052768790844626365,0.029,49.73,381.827,0.5049645056902045,0.7737575460831262,40742.37617554329,24898.24916688855,0.022604741184526985,0.025113402938975037,5821.174934831322,6398.959124416911,12220.134059248234,88.73013284402586,87.9276707966311,turbulent,turbulent,0.0005084483279750527
60121879,160025434,0.1693603717813906,0.045,44.51,438.958,1.6206734141759866,1.0313605640920795,84268.73878002903,51497.832283627904,0.019338100632876908,0.02125465467067959,5183.270166059373,5629.966811032425,10813.236977091798,157.64579080671464,156.2200658585023,turbulent,turbulent,0.0016318546716567479
60121881,7647383836,28.907929674838055,0.357,175.48,3537.15,276.63090597931154,2.797076264000301,1813075.8903776372,1107996.6245120151,0.01118027562674345,0.011903803123977326,11779.647156718145,12354.177264511027,24133.824421229172,1159.497862545926,1149.0115373381857,turbulent,turbulent,0.27853942213058286
60121881,98916121,0.012869219208646572,0.017,44.47,223.373,0.12315042304924949,0.5491337118714419,16950.030600265192,10358.406280807958,0.02784206129669705,0.031402288951799154,5469.517732393248,6107.463605852992,11576.98133824624,44.69074035403834,44.28656398402062,turbulent,turbulent,0.00012400005541622356
60121882,7540526731,28.03229313368462,0.352,101.86,2046.062,268.2516089347811,2.7899540430764698,1783130.677857658,1089696.6765790465,0.011210603531285081,0.011937286516908995,7390.865376382322,7724.673011814127,15115.538388196448,1153.6005003046291,1143.1675099587526,turbulent,turbulent,0.2701023151183296
60121884,50930471,0.20612701636361552,0.048,162.92,1659.014,1.972507333623115,1.1032557326930412,96152.56830790009,58760.21058397296,0.0188363113586795,0.020661989082432962,19402.077324503858,21072.788467535403,40474.86579203926,180.3905249029069,178.75909998214553,turbulent,turbulent,0.0019861159435916715
60121884,50930486,0.26085662591650693,0.053,83.84,894.992,2.4962356547034155,1.1451803406795364,110202.94801220858,67346.59870380143,0.01831473312736509,0.020056924842382903,9579.351739590044,10377.39227236192,19956.744011951963,194.36099086543257,192.6032191404909,turbulent,turbulent,0.0025134575412005702
60121885,60121884,0.46698364228012246,0.067,271.37,3213.292,4.468742988326531,1.2828498073275971,156060.8884093471,95371.0423780922,0.017093081493894883,0.01864025297836901,28386.81753751351,30654.395284053473,59041.21282156698,243.90065313626053,241.69485211688541,turbulent,turbulent,0.004499573484792242
60121885,8272793050,0.2940268566835543,0.056,332.77,3643.499,2.8136541309431036,1.156204612531998,117561.78823428847,71843.69127982676,0.01806911497389039,0.01977473306276192,35652.71396089939,38646.71391234089,74299.42787324029,198.12110060556583,196.32932301064758,turbulent,turbulent,0.0028330659328673533
60121885,3907400247,0.06531324519186799,0.031,171.57,1374.276,0.6250071310226601,0.8381111641738593,47174.442723983746,28828.977087397307,0.02189759071688222,0.024266678922224533,21131.685044131154,23194.961240464923,44326.64628459608,104.10332198088715,103.1618271107709,turbulent,turbulent,0.000629319144533926
60121885,50930472,0.4709598359046499,0.067,131.26,1554.25,4.506792688082775,1.2937728006903124,157389.68936370502,96183.09165848399,0.017069082841162247,0.018610943082338773,14073.987432555145,15184.312554225477,29258.29998678062,248.07178403920696,245.8282599359476,turbulent,turbulent,0.004537885694864456
60121885,99055094,0.00974030808525132,0.015,49.01,215.693,0.09320868981101742,0.533843459483085,14539.472292831344,8885.279600341322,0.028978501933121154,0.03277094705451535,6707.3464912191175,7511.067078469497,14218.413569688615,42.23662319025058,41.85464148872568,turbulent,turbulent,9.38517498816679e-05
60121885,99758846,0.041625462875382185,0.026,151.41,1080.31,0.3983297882811693,0.7593397421760919,35847.01002993618,21906.620855095523,0.023295475575878317,0.025925202914622015,19406.70066974658,21392.557372073305,40799.258041819885,85.45423638448433,84.68140105459486,turbulent,turbulent,0.0004010779224123713
60121887,1149524795,1.1633576758491115,0.097,39.75,543.78,11.13260933826901,1.524732093432741,268539.845575508,164108.5428490625,0.015421233343053186,0.016715411242361023,3973.502745049836,4239.361247048844,8212.86399209868,344.546958129998,341.430926984968,turbulent,turbulent,0.011209414800958235
60121887,155463308,0.19377864674612721,0.047,54.59,550.158,1.8543411171878204,1.081767559132596,92315.63687483995,56415.40687284471,0.018989777909956478,0.020842783652893434,6548.915340936097,7106.175652642992,13655.090993579088,173.43200440872363,171.86351130631562,turbulent,turbulent,0.001867134481543082
60121887,155463348,0.5671488029100252,0.072,82.77,1009.628,5.4272612718662705,1.349136144066101,176372.85001771955,107783.97281235368,0.016700807522588183,0.018184203768724844,8901.521360651279,9580.772588243915,18482.293948895196,269.7571046104345,267.3174617120576,turbulent,turbulent,0.005464704722943645
60121887,155463638,0.032180235317356906,0.024,37.18,250.482,0.30794483557279334,0.6889544072312471,30022.384538455226,18347.108857909723,0.024243977190436167,0.02706722797508512,4473.796394720783,4941.487406773864,9415.283801494646,70.34646881572871,69.71026587560584,turbulent,turbulent,0.0003100693909991318
60121888,903970767,0.24582437835649945,0.052,95.38,1009.216,2.3523863957559756,1.121093960208055,105849.50109659715,64686.14498915575,0.018458752150012178,0.020226777066594176,10697.425677671792,11598.35892991194,22295.78460758373,186.27104989088843,184.5864423818637,turbulent,turbulent,0.0023686158456594037
60121888,155463507,0.2647352459712753,0.053,53.98,576.236,2.533351636088759,1.1622077764216052,111841.53151666427,68347.96053402234,0.0182677908336109,0.019999485945184876,6407.74028434534,6932.913106413411,13340.65339075875,200.18378235313276,198.37335017306714,turbulent,turbulent,0.002550829591045414
