,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,consumer_size_renovated,consumer_size_unrenovated,npv_unrenovated_25years_ir_0.05_gas,npv_renovated_25years_ir_0.05_dh,savings_npv_25years_ir_0.05,operator_selling_price,NFA,npv_per_nfa
21,w98916060,other,226605.19701500298,283256.4962687537,226605.19701500298,251783.55223889218,nr2,nr2,-349539.40764783276,-324835.86472383584,24703.542923996923,0.08136760542010116,2713.01504517002,9.105567979793047
22,w98916062,trade,11092.043274505519,13865.054093131897,44628.266224654115,49586.962471837905,nr1,nr1,-74779.72132959885,-110257.14393010915,-35477.4226005103,0.08838917543097283,151.14776481509907,-234.72012731323065
23,w98916065,other,20948.500685227787,26185.625856534734,74365.24956076973,82628.05506752193,nr1,nr2,-114708.68993059207,-170213.04593474008,-55504.35600414801,0.08838917543097283,222.67857759937178,-249.25772655153065
24,w98916067,trade,3034378.024269405,3792972.530336756,3034378.024269405,3371531.1380771166,nr2,nr2,-4680540.036831137,-4349744.941407049,330795.0954240877,0.08136760542010116,43210.64675020873,7.655407180927922
25,w98916074,trade,491122.8611791089,613903.5764738861,491122.8611791089,545692.0679767877,nr2,nr2,-757558.944985224,-704018.801855625,53540.14312959905,0.08136760542010116,4745.314506876469,11.282738594462737
26,w98916075,sfh,8538.96409194254,10673.705114928174,14372.556497617988,15969.507219575542,r1,r1,-25770.898517721274,-88886.69707673133,-63115.79855901006,0.08839270228274748,67.06430839556852,-941.1235285799298
27,w98916076,sfh,13728.213996145805,17160.267495182256,30526.14503843407,33917.93893159341,r1,r1,-54735.2996005342,-113220.83906709721,-58485.539466563016,0.08839270228274748,98.82164086105185,-591.8292689431923
28,w98916079,trade,133751.88480733606,167189.85600917006,503916.8562605286,559907.618067254,nr2,nr2,-777293.7327178841,-1163133.0146820077,-385839.2819641236,0.08136760542010116,3334.9361924076916,-115.6961512014906
29,w98916080,other,104082.21116258297,130102.76395322871,385409.83654958865,428233.15172176517,nr2,nr2,-594496.188718355,-845001.8868874953,-250505.69816914026,0.08136760542010116,2976.303781049745,-84.16671032174904
30,w98916086,other,20686.516731325537,25858.14591415692,84265.32015590335,93628.13350655927,nr1,nr2,-129979.58776117284,-213576.78759182486,-83597.19983065203,0.08838917543097283,294.4025758753764,-283.95539537004447
31,w98916091,trade,65522.69205707044,81903.36507133805,65522.69205707044,72802.99117452271,nr2,nr2,-101069.01020281287,-93926.00264142627,7143.0075613866065,0.08136760542010116,1116.7099465291947,6.3964752741636515
32,w98916094,trade,13612.2294499376,17015.286812422,46278.56665361178,51420.6296151242,nr1,nr1,-77544.98685809471,-151720.725938841,-74175.7390807463,0.08838917543097283,150.05011938810347,-494.33975383179353
33,w98916098,trade,1389797.224493673,1737246.5306170913,1389797.224493673,1544219.1383263033,nr2,nr2,-2143767.6849395363,-1992257.8526709587,151509.83226857753,0.08136760542010116,15131.85493721813,10.012641073892782
34,w98916102,trade,73425.17962658805,91781.47453323506,284238.58921225026,315820.65468027804,nr2,nr2,-438439.1417877663,-712250.2061391271,-273811.06435136084,0.08136760542010116,1892.1415951219387,-144.70960580184018
35,w98916109,sfh,9629.8057932929,12037.257241616126,38719.86130122445,43022.068112471614,r1,r1,-69427.1486342374,-101488.11239704397,-32060.96376280657,0.08839270228274748,81.43322088830173,-393.7086537051401
36,w98916113,trade,50271.6825643969,62839.60320549612,173540.7692960107,192823.07699556745,nr2,nr2,-267687.31918562605,-379672.4076023183,-111985.08841669222,0.08136760542010116,559.2398283889517,-200.24519487336391
37,w98916116,other,358101.17313169746,447626.4664146218,1062734.6846249367,1180816.3162499296,nr2,nr2,-1639272.4308349062,-2072524.5802368845,-433252.14940197836,0.08136760542010116,6987.1012714248145,-62.007423761532124
38,w98916121,other,22475.134293848154,28093.917867310192,80557.30305057266,89508.1145006363,nr1,nr2,-124259.95679234069,-196733.8635948187,-72473.906802478,0.08838917543097283,458.57296650111675,-158.04225738697465
39,w98916126,trade,54455.49615433791,68069.37019292239,194117.59848031573,215686.22053368413,nr2,nr2,-299427.15913235256,-464131.94665674365,-164704.78752439108,0.08136760542010116,1235.1179318586364,-133.351466508578
40,w99055014,mfh,51250.231128429565,64062.788910536954,138482.6158739089,153869.5731932321,r2,r2,-228573.52136756424,-291142.1876672063,-62568.666299642035,0.08136760542010116,379.03616306802724,-165.07307849782282
41,w99055018,mfh,39011.950831555296,48764.93853944412,74738.71105496878,83043.01228329864,r1,r2,-123360.54067509662,-219450.86599740473,-96090.32532230811,0.08839270228274748,363.825429549627,-264.1110750319366
42,w99055022,sfh,3912.1656857345315,4890.207107168164,8121.358728508361,9023.731920564845,r0,r1,-14562.107420004644,-45620.62638957833,-31058.518969573684,0.10846440760459407,32.828185592684896,-946.0930724265935
43,w99055023,sfh,7638.842228320924,9548.552785401154,23689.428722857134,26321.58746984126,r1,r1,-42476.63689203258,-63366.408299586576,-20889.771407554,0.08839270228274748,57.57688737055287,-362.8152260665252
44,w99055025,trade,131771.14343422168,164713.9292927771,357208.00610134704,396897.78455705225,nr2,nr2,-550994.7543324071,-897444.9513212667,-346450.19698885956,0.08136760542010116,2922.078992408514,-118.56291287433648
45,w99055028,ab,18863.996140229203,23579.9951752865,43794.80756460522,48660.897294005794,r1,r1,-78526.84674000934,-118214.90581143425,-39688.05907142491,0.08839270228274748,168.94065034445376,-234.92308683851266
46,w99055030,other,33719.73290267432,42149.66612834289,116326.93155687526,129252.14617430585,nr1,nr2,-179434.74944746352,-291122.49083724467,-111687.74138978115,0.08838917543097283,502.22660109587014,-222.38515671228066
47,w99055036,other,94056.81089942587,117571.01362428232,328535.37354705296,365039.3039411699,nr2,nr2,-506767.1058461794,-784037.6695758216,-277270.5637296422,0.08136760542010116,2513.4158389533286,-110.31623157316739
48,w99055038,other,24561.514626422148,30701.893283027683,86262.38089475907,95847.08988306564,nr1,nr2,-133060.0618054206,-233327.1096732996,-100267.04786787898,0.08838917543097283,337.97397138923407,-296.67091656713575
49,w99055039,other,95255.37369289662,119069.21711612078,312686.9164410429,347429.90715671435,nr2,nr2,-482320.79842720146,-676917.256395996,-194596.4579687945,0.08136760542010116,2475.299022556655,-78.61533341850644
50,w99055040,trade,7536.8851086504455,9421.106385813056,35391.70019666166,39324.111329624066,nr1,nr1,-59302.80743519024,-95499.91789138124,-36197.110456190996,0.08838917543097283,101.95110847079195,-355.0438146198394
