,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,consumer_size_renovated,consumer_size_unrenovated,npv_unrenovated_25years_ir_0.05_gas,npv_renovated_25years_ir_0.05_dh,savings_npv_25years_ir_0.05,NFA
30,w98916086,other,20686.516731325537,25858.14591415692,84265.32015590335,93628.13350655927,nr1,nr2,-129979.58776117284,-239466.5879424674,-109487.00018129456,294.4025758753764
31,w98916091,trade,65522.69205707044,81903.36507133805,65522.69205707044,72802.99117452271,nr2,nr2,-101069.01020281287,-169415.3234390806,-68346.31323626771,1116.7099465291947
32,w98916094,trade,13612.2294499376,17015.286812422,46278.56665361178,51420.6296151242,nr1,nr1,-77544.98685809471,-168756.84213777346,-91211.85527967876,150.05011938810347
33,w98916098,trade,1389797.224493673,1737246.5306170913,1389797.224493673,1544219.1383263033,nr2,nr2,-2143767.6849395363,-3593456.5401746924,-1449688.8552351561,15131.85493721813
34,w98916102,trade,73425.17962658805,91781.47453323506,284238.58921225026,315820.65468027804,nr2,nr2,-438439.1417877663,-796844.058519751,-358404.91673198465,1892.1415951219387
35,w98916109,sfh,9629.8057932929,12037.257241616126,38719.86130122445,43022.068112471614,r1,r1,-69427.1486342374,-114384.25917961304,-44957.110545375646,81.43322088830173
36,w98916113,trade,50271.6825643969,62839.60320549612,173540.7692960107,192823.07699556745,nr2,nr2,-267687.31918562605,-437590.89435857313,-169903.57517294708,559.2398283889517
37,w98916116,other,358101.17313169746,447626.4664146218,1062734.6846249367,1180816.3162499296,nr2,nr2,-1639272.4308349062,-2485096.3700682516,-845823.9392333454,6987.1012714248145
38,w98916121,other,22475.134293848154,28093.917867310192,80557.30305057266,89508.1145006363,nr1,nr2,-124259.95679234069,-224862.17283503374,-100602.21604269305,458.57296650111675
39,w98916126,trade,54455.49615433791,68069.37019292239,194117.59848031573,215686.22053368413,nr2,nr2,-299427.15913235256,-526870.645103531,-227443.4859711784,1235.1179318586364
40,w99055014,mfh,51250.231128429565,64062.788910536954,138482.6158739089,153869.5731932321,r2,r2,-228573.52136756424,-354321.28132692404,-125747.7599593598,379.03616306802724
41,w99055018,mfh,39011.950831555296,48764.93853944412,74738.71105496878,83043.01228329864,r1,r2,-123360.54067509662,-271695.30944698234,-148334.76877188572,363.825429549627
42,w99055022,sfh,3912.1656857345315,4890.207107168164,8121.358728508361,9023.731920564845,r0,r1,-14562.107420004644,-52049.43528434771,-37487.32786434307,32.828185592684896
43,w99055023,sfh,7638.842228320924,9548.552785401154,23689.428722857134,26321.58746984126,r1,r1,-42476.63689203258,-73596.27510478495,-31119.63821275237,57.57688737055287
44,w99055025,trade,131771.14343422168,164713.9292927771,357208.00610134704,396897.78455705225,nr2,nr2,-550994.7543324071,-1049259.7471772663,-498264.99284485914,2922.078992408514
45,w99055028,ab,18863.996140229203,23579.9951752865,43794.80756460522,48660.897294005794,r1,r1,-78526.84674000934,-143477.39483272377,-64950.54809271444,168.94065034445376
46,w99055030,other,33719.73290267432,42149.66612834289,116326.93155687526,129252.14617430585,nr1,nr2,-179434.74944746352,-333323.7547844636,-153889.0053370001,502.22660109587014
47,w99055036,other,94056.81089942587,117571.01362428232,328535.37354705296,365039.3039411699,nr2,nr2,-506767.1058461794,-892401.4218619257,-385634.3160157463,2513.4158389533286
48,w99055038,other,24561.514626422148,30701.893283027683,86262.38089475907,95847.08988306564,nr1,nr2,-133060.0618054206,-264066.5869012142,-131006.5250957936,337.97397138923407
49,w99055039,other,95255.37369289662,119069.21711612078,312686.9164410429,347429.90715671435,nr2,nr2,-482320.79842720146,-786661.8843508477,-304341.0859236462,2475.299022556655
50,w99055040,trade,7536.8851086504455,9421.106385813056,35391.70019666166,39324.111329624066,nr1,nr1,-59302.80743519024,-104932.55719276774,-45629.7497575775,101.95110847079195
51,w99055041,ab,21595.11692946048,26993.8961618256,64982.981209910264,72203.31245545585,r1,r2,-107258.14753265315,-187736.15402453847,-80478.00649188532,189.90211718752977
52,w99055043,sfh,29155.98911223378,36444.98639029222,86320.99151306404,95912.21279229339,r1,r2,-142477.760645754,-240983.080529038,-98505.31988328401,190.2007592998445
53,w99055048,sfh,5769.180841789516,7211.476052236895,24285.63485393199,26984.0387265911,r1,r1,-43545.67201477638,-74052.14397991647,-30506.47196514009,47.74609960326925
