,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
208,w99758997,604.6954287230968,other,49421.63020499519,54912.92244999466,61777.03775624399,nr1,-82811.54629176206,-419034.2784093334,-336222.7321175713,0.0530335052585837,-556.0199666591741
209,w99759000,505.76658869385716,other,34496.09632156219,38328.995912846876,43120.120401952736,nr1,-57802.1215724567,-28649.05718102969,29153.06439142701,0.0530335052585837,57.64134097255186
210,w99759001,277.86601877255595,other,21620.245901575137,24022.495446194596,27025.30737696892,nr1,-36227.17394977001,-182361.09693836205,-146133.92298859204,0.0530335052585837,-525.9150565949853
211,w99759005,200.24946516156197,th,21517.100210125434,23907.889122361594,26896.37526265679,r1,-38581.51512590563,-125279.59740681233,-86698.0822809067,0.05303562136964849,-432.95038122053603
212,w99759006,478.86383471041916,sfh,50992.01233528256,56657.79148364729,63740.0154191032,r2,-84165.24881149197,-227465.5225200203,-143300.27370852834,0.048820563252060696,-299.25056628088356
213,w99759010,347.4218390390277,ab,42845.86231337848,47606.513681531644,53557.32789172309,r1,-76825.3281707631,-216627.50350151004,-139802.17533074695,0.05303562136964849,-402.39892724487663
214,w99759011,1184.1155465334652,health,81096.3879180279,90107.09768669767,101370.48489753487,nr2,-125091.49732064438,-544514.1658394792,-419422.6685188348,0.048820563252060696,-354.20755157442835
215,w99759013,1127.2734199425206,other,48346.56544700629,53718.406052229206,60433.20680875786,nr1,-81010.15336717493,-364870.6202727647,-283860.4669055898,0.0530335052585837,-251.8115497836042
216,w99759015,262.8249901607633,mfh,34217.03964154063,38018.932935045144,42771.29955192578,r1,-61353.30595674708,-30407.724487450774,30945.581469296303,0.05303562136964849,117.74215781523546
217,w99759016,162.4421672269469,other,8362.91554321064,9292.128381345156,10453.644429013299,nr1,-14013.013426875725,-122455.90394581549,-108442.89051893976,0.0530335052585837,-667.5784518894956
218,w99759020,78.66829424034803,other,5363.4306045502435,5959.367338389159,6704.288255687804,nr1,-8987.036242007127,-68944.50573759631,-59957.46949558918,0.0530335052585837,-762.1554537893833
219,w99759023,45.55874986834824,th,6763.263251708072,7514.736946342302,8454.079064635089,r1,-12126.956741292954,-42196.13778143979,-30069.18104014684,0.05303562136964849,-660.0089143586727
220,w99759028,314.5253525768406,trade,33061.024403090545,36734.47155898949,41326.28050386318,nr1,-55397.495822241945,-260245.96722995778,-204848.47140771584,0.0530335052585837,-651.2939886385471
221,w99759036,422.98085668310523,mfh,42631.70476229463,47368.56084699403,53289.63095286828,r1,-76441.33020097252,-189566.1835165504,-113124.85331557789,0.05303562136964849,-267.44674499614615
222,w99759038,116.55152825303375,ab,12476.366237759883,13862.629153066537,15595.457797199853,r1,-22370.91002122842,-104105.56313219949,-81734.65311097106,0.05303562136964849,-701.2748295631513
224,w99759044,415.2007402397692,trade,30727.523085082063,34141.69231675785,38409.403856352576,nr1,-51487.4497226575,-256204.53411566172,-204717.08439300422,0.0530335052585837,-493.05568259532646
225,w99759045,941.2816024620085,trade,46874.11717738663,52082.35241931848,58592.646471733286,nr1,-78542.89930177768,-353972.63252898137,-275429.7332272037,0.0530335052585837,-292.6114060944057
226,w99759047,442.628270605579,mfh,44840.233894655554,49822.482105172836,56050.29236831944,r1,-80401.36195683567,-185389.38727037885,-104988.02531354318,0.05303562136964849,-237.1923175397371
227,w99759050,246.0824731603265,trade,22511.684368925235,25012.98263213915,28139.60546115654,nr1,-37720.880199422594,-202689.64351713646,-164968.76331771386,0.0530335052585837,-670.3799795210697
228,w99759051,91.54405212756247,th,11301.573718027325,12557.30413114147,14126.967147534155,r1,-20264.433083014716,-76460.18277377567,-56195.74969076095,0.05303562136964849,-613.8656568583476
229,w99759055,270.5142616614699,other,18027.259599334837,20030.288443705373,22534.074499168546,nr1,-30206.71792151932,-144913.56013199984,-114706.84221048052,0.0530335052585837,-424.0325131324436
230,w99759057,194.30349186724052,th,26936.28423283178,29929.20470314642,33670.35529103972,r1,-48298.45320307845,-141124.549019986,-92826.09581690756,0.05303562136964849,-477.737661453515
231,w99759061,534.3112589053809,trade,25116.553078843055,27907.281198714503,31395.691348553817,nr1,-42085.633139796446,-223267.57184355217,-181181.93870375573,0.0530335052585837,-339.0943680934871
232,w99759062,137.67195288166403,th,17570.109600664895,19522.344000738773,21962.637000831117,r1,-31504.31250967905,-121909.04111133469,-90404.72860165565,0.05303562136964849,-656.6677286793706
233,w99759063,182.5971095246263,sfh,23409.161696221272,26010.17966246808,29261.45212027659,r1,-41974.10047114647,-182316.12434592823,-140342.02387478176,0.05303562136964849,-768.5884198284874
234,w99759067,347.13443305995315,other,14604.042087206286,16226.713430229207,18255.052609007857,nr1,-24470.72875449764,-132978.89692132702,-108508.16816682937,0.0530335052585837,-312.5825554392326
235,w99759073,34.86947953915223,sfh,3369.323871661266,3743.69319073474,4211.654839576582,r0,-7413.258304500494,-53812.206877085795,-46398.9485725853,0.06507864456275644,-1330.6464330930871
236,w99759074,1179.944325777702,mfh,115106.04981104136,127895.61090115707,143882.5622638017,r2,-189989.15473965282,-444500.27133899694,-254511.11659934412,0.048820563252060696,-215.6975638927673
237,w99759077,212.39228247441352,sfh,25996.152531155218,28884.613923505796,32495.19066394402,r1,-46612.73788296719,-143091.22424008642,-96478.48635711923,0.05303562136964849,-454.24666674855195
239,w99759083,341.51128259450195,trade,15755.53024255659,17506.144713951766,19694.412803195737,nr1,-26400.177748504506,-141611.33362132215,-115211.15587281765,0.0530335052585837,-337.3568070651861
240,w99759085,319.12387123871594,other,16124.762320599133,17916.40257844348,20155.952900748915,nr1,-27018.867969697032,-164011.94612872845,-136993.07815903143,0.0530335052585837,-429.2786924001551
241,w99759087,592.8829183824361,other,51137.99563470979,56819.99514967755,63922.494543387234,nr2,-78880.55939542496,-342265.2101041596,-263384.65070873464,0.048820563252060696,-444.243951954844
242,w99759088,334.1662621571682,ab,38269.47653436571,42521.64059373968,47836.84566795714,r1,-68619.58039663346,-191820.65742336266,-123201.0770267292,0.05303562136964849,-368.68197355238726
