,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
10,w50930445,4934.112452852726,other,202146.16980193532,224606.85533548368,252682.71225241915,nr2,-311811.26197281596,-1572205.2629967253,-1260394.0010239093,0.0928663828498012,-255.44492815424076
11,w50930458,1974.6456010334193,other,60554.61203303029,67282.90225892254,75693.26504128786,nr2,-93405.72722596636,-838176.3004679334,-744770.573241967,0.0928663828498012,-377.1667041681787
12,w50930471,4724.4749339554455,other,258143.60911438576,286826.2323493175,322679.5113929822,nr2,-398187.53235364717,-1627504.724068698,-1229317.191715051,0.0928663828498012,-260.2018655829414
13,w50930472,9715.957844087014,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-1539305.691834709,93379.95815928583,0.0928663828498012,9.610988402560379
14,w50930478,6019.835157379508,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-990222.9053759659,60070.57205262594,0.0928663828498012,9.978773584686534
15,w50930479,4489.048651921749,other,185541.01142931575,206156.6793659064,231926.26428664467,nr2,-286197.7398739402,-1237985.8476828665,-951788.1078089264,0.0928663828498012,-212.02445810015192
16,w50930480,4441.97852948606,other,168700.98991545063,187445.54435050068,210876.23739431327,nr2,-260221.94045596189,-1170308.2869760757,-910086.3465201139,0.0928663828498012,-204.88310343665967
17,w50930481,1370.623297881335,other,62080.660377160784,68978.51153017864,77600.82547145098,nr2,-95759.66279882971,-534926.3340954733,-439166.67129664356,0.0928663828498012,-320.41383797830747
18,w50930482,1573.369959426485,other,63379.87619939754,70422.08466599727,79224.84524924692,nr2,-97763.70831452575,-519586.75262559764,-421823.04431107186,0.0928663828498012,-268.101625929627
19,w50930483,704.9254127380437,other,45123.70064816985,50137.445164633165,56404.62581021231,nr1,-75609.87789317896,-347451.04163405945,-271841.1637408805,0.10088023314648455,-385.631101998445
20,w50930486,509.32494937628496,trade,30466.044901173256,33851.16100130362,38082.55612646657,nr1,-51049.31337140332,-250314.3957713571,-199265.0823999538,0.10088023314648455,-391.23369598126334
21,w98916060,2713.01504517002,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-329547.8218448361,19991.585802996648,0.0928663828498012,7.3687707108693195
22,w98916062,151.14776481509907,trade,11092.043274505519,12324.492527228354,13865.054093131897,nr1,-18585.976449722642,-110507.6917143271,-91921.71526460446,0.10088023314648455,-608.157953093474
23,w98916065,222.67857759937178,other,20948.500685227787,23276.111872475318,26185.625856534734,nr1,-35101.58865747839,-170686.23201051346,-135584.64335303506,0.10088023314648455,-608.8804985855882
24,w98916067,43210.64675020873,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-4412840.84268206,267699.19414907694,0.0928663828498012,6.195213779062073
25,w98916074,4745.314506876469,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-714231.0560029373,43327.88898228679,0.0928663828498012,9.13066750781219
