,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.1,npv_DH_25years_ir_0.1,savings_npv_25years_ir_0.1,operator_selling_price,savings/NFA [€/m2]
115,w99390065,2581.633286331594,education,348951.4029727128,387723.781080792,436189.253715891,nr2,-346659.3512736202,-572411.2431424716,-225751.89186885144,0.16264528056833066,-87.44537540017413
116,w99390082,124.21957990797236,education,39827.93660519214,44253.26289465793,49784.92075649017,nr1,-42980.68429082764,-70970.61376142644,-27989.929470598807,0.1766806601097602,-225.32622869385847
117,w99390107,332.09000708311794,education,26712.358260262183,29680.39806695798,33390.44782532773,nr1,-28826.88722815075,-47599.56508765692,-18772.67785950617,0.1766806601097602,-56.528885118809384
118,w99390110,1066.5973296171287,mfh,239891.65743218464,266546.2860357607,299864.5717902308,r2,-255010.16755300853,-421058.19987567945,-166048.03232267092,0.16264528056833066,-155.68015005463812
119,w99390116,694.0162199864862,ab,158097.7549469809,175664.1721633121,197622.1936837261,r2,-168061.4299402272,-277493.41854949825,-109431.98860927107,0.16264528056833066,-157.67929546574848
120,w99390122,307.42072394330467,other,98676.7039395479,109640.78215505321,123345.87992443486,nr2,-98028.55607426139,-161866.82240006677,-63838.26632580538,0.16264528056833066,-207.65765400246275
121,w99390129,1196.3697846690193,trade,195071.71625481176,216746.35139423527,243839.6453185147,nr2,-193790.4075829515,-319990.8143429472,-126200.4067599957,0.16264528056833066,-105.48612007524879
122,w99390130,964.417538562417,education,164651.07624751102,182945.64027501224,205813.84530938877,nr2,-163569.58244678238,-270089.54953808757,-106519.96709130518,0.16264528056833066,-110.45005180026723
123,w99390133,9252.387912133521,education,680645.1328091653,756272.3697879614,850806.4160114565,nr2,-676174.3846767774,-1116513.4264860186,-440339.0418092412,0.16264528056833066,-47.59193475143681
124,w99390139,1249.1388426542283,ab,193561.77819765167,215068.6424418352,241952.22274706457,r2,-205760.4754512781,-339739.9257857825,-133979.45033450442,0.16264528056833066,-107.25745270223017
125,w99390141,112.67489476799965,other,30821.618759402736,34246.24306600304,38527.023449253415,nr1,-33261.43350990073,-54921.981576879996,-21660.548066979267,0.1766806601097602,-192.23934587717045
126,w99758761,171.36210507287177,trade,71706.83112597434,79674.25680663815,89633.53890746791,nr2,-71235.83211946886,-117626.1106760357,-46390.278556566846,0.16264528056833066,-270.7149199459202
127,w99758765,309.03573338240386,trade,64055.628922168136,71172.92102463126,80069.53615271016,nr2,-63634.886056953226,-105075.2679864661,-41440.38192951288,0.16264528056833066,-134.09576127636393
128,w99758770,601.7205038767308,mfh,123602.56527583835,137336.18363982037,154503.20659479793,r2,-131392.27607314198,-216947.40947701788,-85555.1334038759,0.16264528056833066,-142.18417496606168
129,w99758771,976.6668764967471,mfh,175271.79498964516,194746.4388773835,219089.74373705644,r2,-186317.81649289405,-307637.3196020026,-121319.50310910857,0.16264528056833066,-124.21789458476903
130,w99758774,197.5460334163159,ab,62183.884482976144,69093.20498108461,77729.85560372018,r2,-66102.8523077484,-109145.24807550198,-43042.39576775358,0.16264528056833066,-217.88539624607102
131,w99758775,265.071225726977,sfh,41468.16576899654,46075.73974332949,51835.20721124567,r1,-47887.487688008216,-79069.0800918366,-31181.592403828385,0.1766877099153118,-117.63476898826198
132,w99758777,337.6781565959565,ab,105954.58460251115,117727.31622501239,132443.23075313892,r2,-112632.08008862905,-185971.64711290752,-73339.56702427847,0.16264528056833066,-217.18777359955732
133,w99758783,333.3155570875853,th,46165.858494498185,51295.3983272202,57707.32311812273,r1,-53312.38889554357,-88026.36661443545,-34713.97771889188,0.1766877099153118,-104.14748721065573
134,w99758786,182.17889552428386,mfh,58859.38042021428,65399.31157801586,73574.22552526784,r2,-62568.83054496484,-103310.07351741378,-40741.24297244894,0.16264528056833066,-223.63316483614463
135,w99758788,349.08404515869915,other,107247.06333366054,119163.40370406726,134058.82916707566,nr2,-106542.62193682847,-175925.42779087357,-69382.8058540451,0.16264528056833066,-198.75673728515028
136,w99758792,60.93018751584459,sfh,22560.840147597835,25067.600163997595,28201.050184497293,r1,-26053.28532777677,-43017.69425989979,-16964.40893212302,0.1766877099153118,-278.4237111975326
137,w99758793,126.39461716674268,ab,45544.688375520156,50605.2093061335,56930.86046940019,r1,-52595.060895302995,-86841.9556578059,-34246.8947625029,0.1766877099153118,-270.9521618102107
138,w99758796,906.0679207786917,ab,179322.33204421046,199247.03560467827,224152.91505526306,r2,-190623.62747448834,-314746.82836517063,-124123.20089068229,0.16264528056833066,-136.99105557562228
139,w99758800,420.9761067721993,ab,99487.39834212833,110541.55371347592,124359.24792766041,r2,-105757.31724981318,-174620.43200936724,-68863.11475955407,0.16264528056833066,-163.57962756498583
140,w99758801,293.7319820257835,mfh,71440.53956745433,79378.37729717146,89300.6744593179,r2,-75942.88255031944,-125392.5430771727,-49449.66052685326,0.16264528056833066,-168.34959606990503
141,w99758803,512.6721141899004,mfh,131384.60978199245,145982.8997577694,164230.76222749054,r2,-139664.76247246724,-230606.46576179078,-90941.70328932354,0.16264528056833066,-177.38765337963662
142,w99758805,165.76912949401884,sfh,58159.717102174254,64621.90789130473,72699.64637771781,r2,-61825.072875882404,-102082.02340359832,-40256.95052771591,0.16264528056833066,-242.84950189817118
143,w99758807,110.8734177275095,other,42605.10553834061,47339.006153711794,53256.381922925764,nr1,-45977.69170100788,-75919.33570146837,-29941.64400046049,0.1766806601097602,-270.0525032433584
144,w99758813,43.0509613757953,other,17306.7893226752,19229.765914083553,21633.486653343996,nr1,-18676.78095753515,-30839.49521778233,-12162.71426024718,0.1766806601097602,-282.5189931086061
145,w99758814,84.92593946289271,th,18715.5754116606,20795.083790734,23394.46926457575,r1,-21612.76898748092,-35685.76771475583,-14072.99872727491,0.1766877099153118,-165.7090732970216
