,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA_x,npv_per_nfa,NFA_y
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-968501.4990675191,-34401.831032934366,4489.048651921749,-7.663501490055591,4489.048651921749
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-914496.2429541209,-32483.52765654074,4441.97852948606,-7.312851118237869,4441.97852948606
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-350870.71713141707,-12463.166176594736,1370.623297881335,-9.093064590292528,1370.623297881335
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-357213.39819830074,-370369.1623935444,-13155.764195243653,1573.369959426485,-8.361519880574757,1573.369959426485
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-237768.69971492764,-246525.4511756407,-8756.751460713043,704.9254127380437,-12.42223829993646,704.9254127380437
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-163623.66946556754,-169649.74358010708,-6026.074114539544,509.32494937628496,-11.831492099334666,509.32494937628496
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-362412.5474772835,-12873.139829450753,2713.01504517002,-4.744957036773091,2713.01504517002
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-74779.72132959885,-77533.77362819739,-2754.0522985985444,151.14776481509907,-18.22092640250162,151.14776481509907
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-114708.68993059207,-118933.28084314919,-4224.59091255712,222.67857759937178,-18.971698840998158,222.67857759937178
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-4852919.016291374,-172378.97946023755,43210.64675020873,-3.9892709881599924,43210.64675020873
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-785458.9814745903,-27900.036489366204,4745.314506876469,-5.879491538218608,4745.314506876469
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-25770.898517721274,-26718.743920188335,-947.8454024670609,67.06430839556852,-14.13338070790711,67.06430839556852
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-54735.2996005342,-56748.44640809888,-2013.1468075646771,98.82164086105185,-20.37151771640042,98.82164086105185
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-777293.7327178841,-805920.5790502282,-28626.84633234411,3334.9361924076916,-8.583926252477012,3334.9361924076916
29,w98916080,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-594496.188718355,-616390.8088899311,-21894.62017157604,2976.303781049745,-7.356312319656359,2976.303781049745
30,w98916086,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-129979.58776117284,-134766.58851591966,-4787.000754746827,294.4025758753764,-16.260050512510507,294.4025758753764
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-104791.26718528123,-3722.2569824683596,1116.7099465291947,-3.3332352720931433,1116.7099465291947
32,w98916094,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-77544.98685809471,-80400.88074890005,-2855.8938908053387,150.05011938810347,-19.032933145615107,150.05011938810347
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2143767.6849395363,-2222720.2166606206,-78952.53172108438,15131.85493721813,-5.217637364926998,15131.85493721813
34,w98916102,trade,284238.58921225026,315820.65468027804,355298.2365153128,nr2,-438439.1417877663,-454586.3579683945,-16147.216180628224,1892.1415951219387,-8.533830777916819,1892.1415951219387
