,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA,npv_per_nfa
81,w99055199,ab,144875.40265854934,160972.66962061037,181094.25332318665,r2,-239125.18359242982,-307243.34434423625,-68118.16075180643,594.2030242990702,-114.63785602935884
82,w99055201,sfh,23915.67348956297,26572.970543958854,29894.59186195371,r1,-42882.3080002942,-55097.934585034185,-12215.626584739985,119.5810925271362,-102.15349539449915
83,w99055202,ab,183212.87097097567,203569.8566344174,229016.08871371957,r2,-302403.3797558206,-388547.2217578667,-86143.84200204606,635.4450178422034,-135.5645879395937
84,w99055209,other,71166.34004527405,79073.7111614156,88957.92505659255,nr2,-109774.35942143192,-141051.8158504622,-31277.456429030295,191.61494707558305,-163.2307756069406
85,w99055216,education,97615.7064420698,108461.89604674422,122019.63305258725,nr2,-150572.61111547577,-193474.50831980733,-42901.89720433156,463.1840371862054,-92.62386818197817
86,w99055219,other,280358.9009157519,311509.889906391,350448.6261446898,nr2,-432454.7073313647,-555671.8532785177,-123217.14594715304,773.0541430711745,-159.39005961165714
87,w99055224,ab,88079.81530757781,97866.46145286423,110099.76913447226,r2,-145380.80046515714,-186794.5595161104,-41413.75905095326,318.955577952601,-129.84177708002846
88,w99055226,ab,69321.04823838189,77023.38693153542,86651.31029797735,r2,-114418.3766369988,-147012.0552099927,-32593.678572993886,262.56915004737675,-124.13369417965833
89,w99055235,trade,455420.4985622041,506022.7761802268,569275.6232027551,nr2,-702487.9102290586,-902644.2593065115,-200156.3490774529,1694.7837025728077,-118.10141245375483
90,w99055245,ab,110594.87925706254,122883.19917451392,138243.59907132815,r2,-182543.20831160824,-234543.2002033625,-51999.99189175427,424.4345906373113,-122.51591420405553
91,w99055249,sfh,33446.903939437485,37163.22659937498,41808.62992429685,r1,-59972.404164705855,-77056.38422147252,-17083.98005676666,70.42309986636974,-242.5905716900293
92,w99055257,trade,36946.07902516493,41051.19891684992,46182.59878145616,nr1,-61907.345443702216,-79546.29419236864,-17638.94874866643,137.79457132667304,-128.00902516579794
93,w99055287,mfh,65413.202259158345,72681.33584350927,81766.50282394793,r2,-107968.25211561841,-138724.52229684108,-30756.270181222673,226.3710821658373,-135.86660401566186
94,w99055292,trade,26638.013577625854,29597.792864028725,33297.51697203232,nr1,-44635.01275360984,-57352.64257143121,-12717.629817821376,58.725108856521544,-216.56204757139514
95,w99055300,other,253934.7967876531,282149.7742085034,317418.49598456634,nr2,-391695.422786144,-503299.2306718345,-111603.80788569048,847.1402418442303,-131.74183254797126
96,w99389931,mfh,99582.28350232905,110646.9816692545,124477.85437791131,r2,-164366.28570531614,-211188.3263772652,-46822.04067194907,488.4274571448564,-95.86283487347585
97,w99389943,ab,624462.3880690951,693847.0978545501,780577.9850863689,r2,-1030711.0831334601,-1324323.5843128476,-293612.50117938744,3490.8252122399163,-84.10976870164994
98,w99389949,ab,683124.5893772031,759027.3215302257,853905.7367215039,r2,-1127536.4199423487,-1448730.9756695216,-321194.5557271729,2474.179022271931,-129.81863997546705
99,w99389956,education,46899.24791118664,52110.27545687404,58624.0598889833,nr1,-78585.00869632402,-100975.84020223182,-22390.8315059078,671.7147096479312,-33.33384126371686
100,w99389960,ab,196619.69517326806,218466.32797029783,245774.61896658505,r2,-324532.1141022608,-416979.6362972473,-92447.52219498652,693.6997662768932,-133.26733940124421
101,w99389971,education,309303.5674613809,343670.63051264547,386629.4593267261,nr2,-477101.96931915294,-613040.2351968489,-135938.26587769593,1612.9015118613836,-84.28181440589955
102,w99389974,education,43366.28216826591,48184.7579647399,54207.85271033239,nr1,-72665.12392211602,-93369.23241669356,-20704.108494577536,235.12884147074072,-88.0543125423171
103,w99389975,mfh,203599.25388206367,226221.39320229297,254499.0673525796,r2,-336052.2771320642,-431781.4792628983,-95729.2021308341,1082.0712234761565,-88.46848530293948
104,w99389979,ab,58414.06986123536,64904.52206803929,73017.58732654419,r2,-96415.7815862653,-123881.16858748693,-27465.387001221636,163.53384786918758,-167.94924940059798
105,w99389992,other,222880.7619206125,247645.2910229028,278600.9524007656,nr2,-343794.45186630293,-441750.0768908045,-97955.62502450158,2569.363114476204,-38.12447702413251
106,w99390006,education,83282.49698597375,92536.10776219305,104103.12123246718,nr2,-128463.57915605236,-165066.061019283,-36602.48186323063,431.6004564465955,-84.80640211686077
107,w99390011,ab,487902.76263553556,542114.1807061506,609878.4532944195,r2,-805311.5680751572,-1034715.8575996397,-229404.28952448245,2554.974828636646,-89.7872992537051
108,w99390014,trade,125980.24566648666,139978.05074054073,157475.30708310832,nr2,-194325.02442861776,-249693.07682874595,-55368.05240012819,587.280543653667,-94.27871057274463
