,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA,npv_per_nfa,operator_selling_price
42,w99055022,sfh,8121.358728508361,9023.731920564845,10151.69841063545,r1,-14562.107420004644,-24975.005197363716,-10412.897777359072,32.828185592684896,-317.1938256520451,0.19637529188733546
43,w99055023,sfh,23689.428722857134,26321.58746984126,29611.785903571417,r1,-42476.63689203258,-72850.32286519876,-30373.685973166183,57.57688737055287,-527.532615260833,0.19637529188733546
44,w99055025,trade,357208.00610134704,396897.78455705225,446510.0076266838,nr2,-550994.7543324071,-945038.3306946537,-394043.57636224653,2922.078992408514,-134.85041896059676,0.18076817261943368
45,w99055028,ab,43794.80756460522,48660.897294005794,54743.50945575652,r1,-78526.84674000934,-134678.88602237022,-56152.039282360885,168.94065034445376,-332.3773121973443,0.19637529188733546
46,w99055030,other,116326.93155687526,129252.14617430585,145408.66444609407,nr2,-179434.74944746352,-307757.405588917,-128322.65614145351,502.22660109587014,-255.50748578719345,0.18076817261943368
47,w99055036,other,328535.37354705296,365039.3039411699,410669.2169338162,nr2,-506767.1058461794,-869181.30525597,-362414.19940979057,2513.4158389533286,-144.19189765300123,0.18076817261943368
48,w99055038,other,86262.38089475907,95847.08988306564,107827.97611844883,nr2,-133060.0618054206,-228217.88719763543,-95157.82539221481,337.97397138923407,-281.55370959802264,0.18076817261943368
49,w99055039,other,312686.9164410429,347429.90715671435,390858.64555130363,nr2,-482320.79842720146,-827252.2353814831,-344931.43695428164,2475.299022556655,-139.34940134950375,0.18076817261943368
50,w99055040,trade,35391.70019666166,39324.111329624066,44239.62524582707,nr1,-59302.80743519024,-101713.17549467721,-42410.36805948697,101.95110847079195,-415.9873168189942,0.19636745655105992
51,w99055041,ab,64982.981209910264,72203.31245545585,81228.72651238783,r2,-107258.14753265315,-183955.02208750785,-76696.8745548547,189.90211718752977,-403.8758266139601,0.18076817261943368
52,w99055043,sfh,86320.99151306404,95912.21279229339,107901.23939133005,r2,-142477.760645754,-244359.0553210817,-101881.29467532769,190.2007592998445,-535.6513562320515,0.18076817261943368
53,w99055048,sfh,24285.63485393199,26984.0387265911,30357.04356741499,r1,-43545.67201477638,-74683.79085006015,-31138.11883528377,47.74609960326925,-652.1604716200043,0.19637529188733546
54,w99055050,trade,65308.77244341692,72565.3027149077,81635.96555427114,nr2,-100739.0383573933,-172782.5027307275,-72043.46437333418,194.95880112051967,-369.5317367529273,0.18076817261943368
55,w99055053,ab,49059.40863841541,54510.454042683785,61324.260798019255,r1,-87966.6078591905,-150868.71873089354,-62902.110871703044,122.33706042193808,-514.1705273508692,0.19637529188733546
56,w99055057,ab,87681.8017174346,97424.2241304829,109602.25214679325,r2,-144723.8561456332,-248211.26195335778,-103487.40580772457,303.91877080444243,-340.5100827889104,0.18076817261943368
57,w99055067,sfh,33001.382887256914,36668.203208063234,41251.72860907114,r1,-59173.5568736789,-101486.67688279947,-42313.12000912057,194.8848727118224,-217.11854501754618,0.19637529188733546
58,w99055068,ab,132493.30677667502,147214.7853074167,165616.63347084375,r2,-218687.82226898547,-375064.49720766605,-156376.67493868057,348.37368724122643,-448.87625175434033,0.18076817261943368
59,w99055094,other,66091.27134448045,73434.74593831161,82614.08918060057,nr2,-101946.04598990016,-174852.70116581427,-72906.65517591411,263.70872883694244,-276.4665981951401,0.18076817261943368
60,w99055100,sfh,15744.323611141372,17493.69290126819,19680.404513926715,r1,-28230.563301673767,-48417.337192227824,-20186.773890554057,85.6876405166462,-235.58559634551324,0.19637529188733546
