,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA_x,npv_per_nfa,NFA_y
521,w159872743,other,113283.89066886077,125870.98963206752,141604.86333607594,nr2,-174740.84690923398,-292872.3174549922,-118131.47054575823,753.6066189933568,-156.75482084214494,753.6066189933568
522,w159872746,mfh,44537.18740147157,49485.76377941285,55671.484251839465,r1,-79857.98051851674,-133838.66874077753,-53980.6882222608,394.377677144669,-136.87561784197825,394.377677144669
523,w159872748,trade,55207.313642999135,61341.45960333237,69009.14205374892,nr2,-85157.49842808953,-142727.21206541485,-57569.713637325316,575.8923149108887,-99.96610850108918,575.8923149108887
524,w159872750,mfh,24037.222862000235,26708.025402222484,30046.528577500292,r1,-43100.25367631174,-72234.24054769106,-29133.986871379326,127.08080641776323,-229.25560273519798,127.08080641776323
525,w159872753,other,88884.54137689188,98760.60152987986,111105.67672111484,nr2,-137104.75466222907,-229792.79282583855,-92688.03816360948,434.5401292324066,-213.30144658293875,434.5401292324066
526,w159872756,mfh,78579.29604288908,87310.32893654342,98224.12005361135,r2,-129699.64706228138,-217371.23811864277,-87671.59105636139,252.43327465518377,-347.3060006693576,252.43327465518377
527,w159872759,mfh,89723.47994521554,99692.75549468394,112154.34993151942,r2,-148093.76347355582,-248199.0155951472,-100105.25212159139,386.07803563163617,-259.2876125620976,386.07803563163617
528,w159872763,trade,221339.4897592335,245932.76639914833,276674.3621990418,nr2,-341417.03349545744,-572227.9569261915,-230810.92343073402,1345.7076428122818,-171.516394860017,1345.7076428122818
529,w159872767,mfh,83343.79298090824,92604.21442323137,104179.7412261353,r2,-137563.72325549545,-230551.10419767245,-92987.380942177,486.0339612279087,-191.318690379691,486.0339612279087
530,w159872769,other,124167.66940780358,137964.07711978175,155209.58675975446,nr2,-191529.1184206251,-321010.1001805086,-129480.98175988352,563.4171857964247,-229.81368872668344,563.4171857964247
531,w159872774,other,413797.37386652373,459774.85985169304,517246.71733315464,nr2,-638284.0766796593,-1069788.432631852,-431504.3559521928,2747.8572637828997,-157.03303138757383,2747.8572637828997
532,w159872776,sfh,36321.68634447571,40357.42927163968,45402.10793059463,r1,-65127.06997750328,-109150.27262372848,-44023.2026462252,80.53474041707815,-546.6361773594252,80.53474041707815
533,w159872779,trade,114419.59653572936,127132.8850396993,143024.4956696617,nr2,-176492.67767567988,-295808.4525684066,-119315.77489272671,530.1892838459462,-225.04373160321276,530.1892838459462
534,w159872782,mfh,61146.105877939306,67940.11764215479,76432.63234742412,r2,-100925.16414594791,-169146.3961902478,-68221.23204429988,386.9254036822822,-176.31623924160505,386.9254036822822
535,w159872787,sfh,178209.46733573131,198010.51926192368,222761.83416966413,r2,-294144.9743197738,-492974.7975610332,-198829.82324125944,649.6997715241275,-306.03338950670326,649.6997715241275
536,w159872789,mfh,33686.438755273215,37429.37639474802,42108.04844409152,r1,-60401.90516763369,-101231.09205307682,-40829.18688544313,103.62989482581615,-393.99043059987565,103.62989482581615
537,w159872791,other,1048520.3896910504,1165022.6552122782,1310650.487113813,nr2,-1617346.8249936893,-2710734.9033876327,-1093388.0783939434,7102.280937734339,-153.94886346790153,7102.280937734339
538,w159872796,other,52305.65320515192,58117.392450168794,65382.06650643989,nr2,-80681.67579030106,-135225.56278516664,-54543.88699486558,295.65545302389654,-184.4846304609069,295.65545302389654
539,w159872797,other,449508.16779551905,499453.5197727989,561885.2097443988,nr2,-693368.1167678857,-1162111.382650529,-468743.2658826433,3172.659030787088,-147.74460833452855,3172.659030787088
540,w159872802,mfh,75178.90920692091,83532.12134102323,93973.63650865114,r2,-124087.11303983882,-207964.8634902253,-83877.75045038649,393.79842739673325,-212.99666178169787,393.79842739673325
541,w159872803,mfh,46940.21759095484,52155.79732328315,58675.271988693545,r1,-84166.76491316894,-141060.01297621775,-56893.24806304881,469.9664310747758,-121.05811032702587,469.9664310747758
542,w159872804,mfh,71285.2107419375,79205.78971326388,89106.51342742186,r2,-117660.33980430795,-197193.85765514954,-79533.51785084158,664.4021281981841,-119.70689808976287,664.4021281981841
543,w159872808,other,56786.49320607678,63096.10356230754,70983.11650759597,nr2,-87593.38911514725,-146809.85767005815,-59216.4685549109,295.65545226749964,-200.28877567031546,295.65545226749964
544,w159872809,other,119204.66751548543,132449.63057276158,149005.8343943568,nr2,-183873.66848193237,-308179.2743927051,-124305.60591077275,678.8678823016584,-183.10721298129837,678.8678823016584
545,w159872812,mfh,86157.86629660908,95730.96255178786,107697.33287076134,r2,-142208.51309497902,-238335.57964597188,-96127.06655099287,337.05531151816245,-285.19671183349084,337.05531151816245
546,w159872814,mfh,145484.1491333942,161649.05459266022,181855.18641674274,r2,-240129.95465699496,-402447.86115801474,-162317.90650101978,765.4437305399682,-212.05726825473585,765.4437305399682
547,w159872815,mfh,337276.36098132026,374751.51220146695,421595.45122665033,r2,-556694.0299115399,-932996.1435979845,-376302.1136864446,1229.117813373683,-306.1562606871431,1229.117813373683
548,w159872820,mfh,84037.26817074124,93374.74241193471,105046.58521342654,r2,-138708.34393673312,-232469.44106513794,-93761.09712840483,336.8380303993821,-278.3566244501376,336.8380303993821
549,w159872826,th,335754.3027910823,373060.33643453586,419692.8784888529,r2,-554181.7853379265,-928785.7257148811,-374603.9403769546,1791.1392054180615,-209.14284006726325,1791.1392054180615
550,w159872827,th,53422.40493792502,59358.22770880558,66778.00617240627,r2,-88176.7515693362,-147780.58457400894,-59603.83300467275,157.03123329076917,-379.5667381297735,157.03123329076917
551,w159872832,sfh,5188.715632226509,5765.239591362788,6485.894540283136,r1,-9303.69374561755,-15592.605487896437,-6288.911742278888,35.670331929810345,-176.30651025770607,35.670331929810345
552,w159872833,mfh,61277.51128247401,68086.12364719335,76596.88910309252,r2,-101142.0563230034,-169509.8984983316,-68367.8421753282,162.84196072258055,-419.8416788397706,162.84196072258055
