,south G(i) [kWh/m2],south_east G(i) [kWh/m2],east G(i) [kWh/m2],north_east G(i) [kWh/m2],north G(i) [kWh/m2],north_west G(i) [kWh/m2],west G(i) [kWh/m2],south_west G(i) [kWh/m2]
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,9.58,9.58,9.58,9.58,7.3,7.3,7.3,7.3
201,31.12,31.12,31.12,23.71,23.71,23.71,23.71,31.12
202,42.49,42.49,42.49,32.38,32.38,32.38,32.38,42.49
203,19.75,19.75,19.75,15.05,15.05,15.05,15.05,19.75
204,45.49,45.49,34.66,34.66,34.66,34.66,45.49,45.49
205,42.49,42.49,32.38,32.38,32.38,32.38,42.49,42.49
206,37.5,32.81,24.17,24.17,24.17,24.17,36.07,38.85
207,2.39,1.82,1.82,1.82,1.82,2.39,2.39,2.39
208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,66.88,87.33,68.42,21.22,15.05,15.05,15.05,15.05
225,390.8,449.15,274.27,35.57,35.57,35.57,35.57,133.41
226,354.8,343.75,176.21,55.18,55.18,55.18,55.18,202.9
227,44.89,44.89,44.89,34.2,34.2,34.2,34.2,44.89
228,173.48,136.29,61.56,61.56,61.56,61.56,97.18,157.28
229,25.14,25.14,19.15,19.15,19.15,19.15,25.14,25.14
230,8.38,8.38,6.38,6.38,6.38,6.38,8.38,8.38
231,8.38,6.38,6.38,6.38,6.38,8.38,8.38,8.38
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,215.6,301.11,223.05,27.15,15.5,15.5,15.5,15.5
249,606.95,705.53,415.0,25.54,25.54,25.54,25.54,177.01
250,799.02,770.65,320.86,29.18,29.18,29.18,29.18,389.37
251,809.17,640.98,134.42,38.3,38.3,38.3,38.3,540.47
252,576.83,374.92,55.63,55.63,55.63,55.63,160.94,488.2
253,171.85,111.78,53.35,53.35,53.35,53.35,114.96,173.17
254,133.2,61.04,33.74,33.74,33.74,33.74,111.03,153.9
255,247.87,7.3,7.3,7.3,7.3,37.38,284.98,372.16
256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
