electricity_multiplier,gas_multiplier,renovation_cost_multiplier,average_savings
0.1,5.0,0.8,291804.56518249295
0.1,5.0,0.9,278962.6987025695
0.1,5.0,1.0,266120.83222264616
0.5,0.1,0.0,-41180.44340402216
0.5,0.1,0.1,-54022.30988394554
0.5,0.1,0.2,-66864.1763638689
0.5,0.1,0.30000000000000004,-79706.0428437923
0.5,0.1,0.4,-92547.90932371566
0.5,0.1,0.5,-105389.77580363903
0.5,0.1,0.6000000000000001,-118231.64228356241
0.5,0.1,0.7000000000000001,-131073.50876348576
0.5,0.1,0.8,-143915.37524340916
0.5,0.1,0.9,-156757.24172333252
0.5,0.1,1.0,-169599.1082032559
0.5,0.5,0.0,-6976.503218224058
0.5,0.5,0.1,-19818.36969814744
0.5,0.5,0.2,-32660.236178070805
0.5,0.5,0.30000000000000004,-45502.10265799418
0.5,0.5,0.4,-58343.96913791756
0.5,0.5,0.5,-71185.83561784093
0.5,0.5,0.6000000000000001,-84027.70209776431
0.5,0.5,0.7000000000000001,-96869.56857768768
0.5,0.5,0.8,-109711.43505761106
0.5,0.5,0.9,-122553.30153753444
0.5,0.5,1.0,-135395.16801745782
0.5,0.75,0.0,14400.959397899758
0.5,0.75,0.1,1559.0929179763841
0.5,0.75,0.2,-11282.77356194699
0.5,0.75,0.30000000000000004,-24124.640041870367
0.5,0.75,0.4,-36966.50652179374
0.5,0.75,0.5,-49808.37300171711
0.5,0.75,0.6000000000000001,-62650.23948164049
0.5,0.75,0.7000000000000001,-75492.10596156387
0.5,0.75,0.8,-88333.97244148723
0.5,0.75,0.9,-101175.83892141061
0.5,0.75,1.0,-114017.70540133398
0.5,1.0,0.0,35778.42201402358
0.5,1.0,0.1,22936.5555341002
0.5,1.0,0.2,10094.689054176828
0.5,1.0,0.30000000000000004,-2747.1774257465518
0.5,1.0,0.4,-15589.043905669923
0.5,1.0,0.5,-28430.910385593295
0.5,1.0,0.6000000000000001,-41272.77686551668
0.5,1.0,0.7000000000000001,-54114.643345440054
0.5,1.0,0.8,-66956.50982536342
0.5,1.0,0.9,-79798.3763052868
0.5,1.0,1.0,-92640.24278521015
0.5,1.25,0.0,57155.88463014738
0.5,1.25,0.1,44314.018150224016
0.5,1.25,0.2,31472.151670300635
0.5,1.25,0.30000000000000004,18630.285190377253
0.5,1.25,0.4,5788.418710453886
0.5,1.25,0.5,-7053.447769469486
0.5,1.25,0.6000000000000001,-19895.314249392868
0.5,1.25,0.7000000000000001,-32737.18072931625
0.5,1.25,0.8,-45579.04720923962
0.5,1.25,0.9,-58420.91368916299
0.5,1.25,1.0,-71262.78016908636
0.5,1.5,0.0,78533.34724627122
0.5,1.5,0.1,65691.48076634784
0.5,1.5,0.2,52849.614286424454
0.5,1.5,0.30000000000000004,40007.74780650109
0.5,1.5,0.4,27165.881326577717
0.5,1.5,0.5,14324.014846654341
0.5,1.5,0.6000000000000001,1482.148366730954
0.5,1.5,0.7000000000000001,-11359.718113192417
0.5,1.5,0.8,-24201.584593115786
0.5,1.5,0.9,-37043.45107303916
0.5,1.5,1.0,-49885.31755296252
0.5,2.0,0.0,121288.27247851883
0.5,2.0,0.1,108446.40599859548
0.5,2.0,0.2,95604.5395186721
0.5,2.0,0.30000000000000004,82762.67303874872
0.5,2.0,0.4,69920.80655882534
0.5,2.0,0.5,57078.94007890197
0.5,2.0,0.6000000000000001,44237.07359897859
0.5,2.0,0.7000000000000001,31395.207119055216
0.5,2.0,0.8,18553.34063913185
0.5,2.0,0.9,5711.4741592084765
0.5,2.0,1.0,-7130.392320714893
0.5,3.0,0.0,206798.1229430141
0.5,3.0,0.1,193956.25646309074
0.5,3.0,0.2,181114.38998316738
0.5,3.0,0.30000000000000004,168272.52350324398
0.5,3.0,0.4,155430.65702332061
0.5,3.0,0.5,142588.79054339725
0.5,3.0,0.6000000000000001,129746.92406347385
0.5,3.0,0.7000000000000001,116905.0575835505
0.5,3.0,0.8,104063.19110362712
0.5,3.0,0.9,91221.32462370374
0.5,3.0,1.0,78379.45814378037
0.5,4.0,0.0,292307.9734075094
0.5,4.0,0.1,279466.106927586
0.5,4.0,0.2,266624.24044766265
0.5,4.0,0.30000000000000004,253782.37396773926
