,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
28,w98916079,3334.9361924076916,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-1036391.6436238455,-1302773.912745059,-266382.26912121347,0.17664603579609733
29,w98916080,2976.303781049745,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-792661.5849578069,-996398.2639877222,-203736.67902991537,0.17664603579609733
30,w98916086,294.4025758753764,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-173306.1170148971,-217850.74161413833,-44544.624599241215,0.17664603579609733
31,w98916091,1116.7099465291947,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-134758.68027041716,-169395.5120656787,-34636.83179526153,0.17664603579609733
32,w98916094,150.05011938810347,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-103393.31581079293,-129968.35261960141,-26575.03680880848,0.1918896023368773
33,w98916098,15131.85493721813,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2858356.9132527155,-3593036.322523327,-734679.4092706116,0.17664603579609733
34,w98916102,1892.1415951219387,trade,284238.58921225026,315820.65468027804,355298.2365153128,nr2,-584585.5223836884,-734840.7071934337,-150255.1848097453,0.17664603579609733
35,w98916109,81.43322088830173,sfh,38719.86130122445,43022.068112471614,48399.826626530565,r1,-92569.53151231653,-116357.0264028887,-23787.49489057217,0.19189725900050425
36,w98916113,559.2398283889517,trade,173540.7692960107,192823.07699556745,216925.96162001335,nr2,-356916.42558083474,-448654.14646829007,-91737.72088745533,0.17664603579609733
37,w98916116,6987.1012714248145,other,1062734.6846249367,1180816.3162499296,1328418.3557811708,nr2,-2185696.5744465413,-2747483.054194395,-561786.4797478537,0.17664603579609733
38,w98916121,458.57296650111675,other,80557.30305057266,89508.1145006363,100696.62881321582,nr2,-165679.94238978758,-208264.42217905325,-42584.479789265664,0.17664603579609733
39,w98916126,1235.1179318586364,trade,194117.59848031573,215686.22053368413,242646.99810039465,nr2,-399236.21217646997,-501851.32758116873,-102615.11540469876,0.17664603579609733
40,w99055014,379.03616306802724,mfh,138482.6158739089,153869.5731932321,173103.2698423861,r2,-304764.69515675236,-383079.75747186696,-78315.0623151146,0.17664603579609733
41,w99055018,363.825429549627,mfh,74738.71105496878,83043.01228329864,93423.38881871097,r2,-164480.7209001288,-206747.15829145198,-42266.43739132318,0.17664603579609733
42,w99055022,32.828185592684896,sfh,8121.358728508361,9023.731920564845,10151.69841063545,r1,-19416.14322667286,-24405.48907571874,-4989.34584904588,0.19189725900050425
43,w99055023,57.57688737055287,sfh,23689.428722857134,26321.58746984126,29611.785903571417,r1,-56635.51585604343,-71189.08463878384,-14553.56878274041,0.19189725900050425
44,w99055025,2922.078992408514,trade,357208.00610134704,396897.78455705225,446510.0076266838,nr2,-734659.6724432094,-923488.202450441,-188828.53000723151,0.17664603579609733
45,w99055028,168.94065034445376,ab,43794.80756460522,48660.897294005794,54743.50945575652,r1,-104702.46232001242,-131607.74364506963,-26905.281325057207,0.19189725900050425
46,w99055030,502.22660109587014,other,116326.93155687526,129252.14617430585,145408.66444609407,nr2,-239246.33259661798,-300739.47695773415,-61493.14436111617,0.17664603579609733
47,w99055036,2513.4158389533286,other,328535.37354705296,365039.3039411699,410669.2169338162,nr2,-675689.4744615725,-849360.9784106347,-173671.5039490622,0.17664603579609733
48,w99055038,337.97397138923407,other,86262.38089475907,95847.08988306564,107827.97611844883,nr2,-177413.41574056083,-223013.7334855662,-45600.31774500536,0.17664603579609733
49,w99055039,2475.299022556655,other,312686.9164410429,347429.90715671435,390858.64555130363,nr2,-643094.3979029352,-808388.0357149169,-165293.63781198172,0.17664603579609733
50,w99055040,101.95110847079195,trade,35391.70019666166,39324.111329624066,44239.62524582707,nr1,-79070.40991358699,-99393.7648370955,-20323.35492350851,0.1918896023368773
