,time,G(i),H_sun,T2m,WS10m,Int
205,20190109:1310,49.7,14.57,3.23,5.17,0.0
206,20190109:1410,32.83,9.73,3.05,4.28,0.0
207,20190109:1510,5.93,3.17,2.57,4.34,0.0
208,20190109:1610,0.0,0.0,1.92,4.14,0.0
209,20190109:1710,0.0,0.0,1.65,4.14,0.0
210,20190109:1810,0.0,0.0,1.61,4.21,0.0
211,20190109:1910,0.0,0.0,1.14,3.59,0.0
212,20190109:2010,0.0,0.0,1.11,3.79,0.0
213,20190109:2110,0.0,0.0,1.17,3.86,0.0
214,20190109:2210,0.0,0.0,1.04,3.66,0.0
215,20190109:2310,0.0,0.0,1.0,3.66,0.0
216,20190110:0010,0.0,0.0,1.06,3.66,0.0
217,20190110:0110,0.0,0.0,1.11,3.72,0.0
218,20190110:0210,0.0,0.0,1.2,3.66,0.0
219,20190110:0310,0.0,0.0,0.91,3.38,0.0
220,20190110:0410,0.0,0.0,0.59,3.45,0.0
221,20190110:0510,0.0,0.0,0.53,3.38,0.0
222,20190110:0610,0.0,0.0,0.65,3.24,0.0
223,20190110:0710,0.0,0.0,0.34,2.9,0.0
224,20190110:0810,3.59,5.26,0.35,3.03,0.0
225,20190110:0910,6.84,11.39,0.8,3.86,0.0
226,20190110:1010,19.61,15.68,1.09,3.93,0.0
227,20190110:1110,11.86,17.77,1.48,3.52,0.0
228,20190110:1210,36.02,17.44,1.68,3.17,0.0
229,20190110:1310,36.48,14.73,1.72,3.1,0.0
230,20190110:1410,24.17,9.9,1.54,3.03,0.0
231,20190110:1510,2.28,3.35,1.07,2.76,0.0
232,20190110:1610,0.0,0.0,0.53,2.41,0.0
233,20190110:1710,0.0,0.0,0.05,2.14,0.0
234,20190110:1810,0.0,0.0,-0.11,1.79,0.0
235,20190110:1910,0.0,0.0,0.25,1.66,0.0
236,20190110:2010,0.0,0.0,-0.17,1.03,0.0
237,20190110:2110,0.0,0.0,-0.76,0.97,0.0
238,20190110:2210,0.0,0.0,-1.05,1.03,0.0
239,20190110:2310,0.0,0.0,-0.98,0.9,0.0
240,20190111:0010,0.0,0.0,-1.04,0.9,0.0
241,20190111:0110,0.0,0.0,-1.29,0.97,0.0
242,20190111:0210,0.0,0.0,-1.37,1.1,0.0
243,20190111:0310,0.0,0.0,-0.99,1.31,0.0
244,20190111:0410,0.0,0.0,-0.77,1.52,0.0
245,20190111:0510,0.0,0.0,-0.71,1.66,0.0
246,20190111:0610,0.0,0.0,-0.59,1.93,0.0
247,20190111:0710,0.0,0.0,-0.57,2.07,0.0
248,20190111:0810,13.17,5.34,-0.39,2.34,0.0
249,20190111:0910,22.34,11.5,-0.12,2.62,0.0
250,20190111:1010,23.71,15.81,0.28,2.83,0.0
