,time,G(i),H_sun,T2m,WS10m,Int
5775,20200828:1510,58.37,28.91,21.1,3.86,0.0
5776,20200828:1610,25.08,19.61,20.83,3.93,0.0
5777,20200828:1710,26.33,10.01,20.19,3.66,0.0
5778,20200828:1810,0.0,0.0,19.37,3.52,0.0
5779,20200828:1910,0.0,0.0,19.21,2.97,0.0
5780,20200828:2010,0.0,0.0,18.58,2.41,0.0
5781,20200828:2110,0.0,0.0,17.89,2.62,0.0
5782,20200828:2210,0.0,0.0,17.56,3.03,0.0
5783,20200828:2310,0.0,0.0,17.21,3.24,0.0
5784,20200829:0010,0.0,0.0,16.9,3.1,0.0
5785,20200829:0110,0.0,0.0,16.42,2.97,0.0
5786,20200829:0210,0.0,0.0,15.99,2.9,0.0
5787,20200829:0310,0.0,0.0,15.45,2.76,0.0
5788,20200829:0410,0.0,0.0,14.95,2.62,0.0
5789,20200829:0510,10.77,4.77,14.6,2.48,0.0
5790,20200829:0610,43.32,14.36,15.27,2.14,0.0
5791,20200829:0710,83.45,23.86,15.92,3.31,0.0
5792,20200829:0810,101.69,32.82,17.22,4.0,0.0
5793,20200829:0910,93.48,40.63,18.38,4.0,0.0
5794,20200829:1010,114.91,46.43,19.29,4.07,0.0
5795,20200829:1110,159.15,49.21,19.98,4.14,0.0
5796,20200829:1210,168.27,48.3,20.65,4.14,0.0
5797,20200829:1310,154.59,43.94,21.01,4.07,0.0
5798,20200829:1410,130.87,37.04,21.4,3.93,0.0
5799,20200829:1510,70.68,28.58,21.39,3.52,0.0
5800,20200829:1610,51.98,19.29,21.42,3.17,0.0
5801,20200829:1710,45.2,9.7,21.04,2.34,0.0
5802,20200829:1810,0.0,0.0,20.21,1.66,0.0
5803,20200829:1910,0.0,0.0,18.4,1.45,0.0
5804,20200829:2010,0.0,0.0,17.59,1.24,0.0
5805,20200829:2110,0.0,0.0,16.44,1.17,0.0
5806,20200829:2210,0.0,0.0,15.8,1.17,0.0
5807,20200829:2310,0.0,0.0,15.37,1.17,0.0
5808,20200830:0010,0.0,0.0,15.34,0.97,0.0
5809,20200830:0110,0.0,0.0,15.99,0.55,0.0
5810,20200830:0210,0.0,0.0,15.76,0.48,0.0
5811,20200830:0310,0.0,0.0,15.55,0.48,0.0
5812,20200830:0410,0.0,0.0,15.16,0.62,0.0
5813,20200830:0510,39.11,4.55,14.73,0.69,0.0
5814,20200830:0610,29.18,14.14,15.21,0.34,0.0
5815,20200830:0710,37.85,23.63,15.99,1.59,0.0
5816,20200830:0810,109.44,32.58,17.27,2.0,0.0
5817,20200830:0910,80.26,40.36,18.46,2.41,0.0
5818,20200830:1010,137.26,46.12,19.38,2.48,0.0
5819,20200830:1110,165.99,48.86,20.08,2.34,0.0
5820,20200830:1210,101.69,47.94,20.81,2.28,0.0
5821,20200830:1310,99.41,43.58,20.87,2.55,0.0
5822,20200830:1410,51.53,36.7,20.36,2.76,0.0
5823,20200830:1510,40.13,28.25,19.63,2.62,0.0
5824,20200830:1610,26.45,18.97,18.76,2.34,0.0
5825,20200830:1710,10.17,9.37,17.79,1.93,0.0
5826,20200830:1810,0.0,0.0,17.03,1.38,0.0
5827,20200830:1910,0.0,0.0,15.09,2.07,0.0
5828,20200830:2010,0.0,0.0,14.71,2.28,0.0
5829,20200830:2110,0.0,0.0,14.42,2.14,0.0
5830,20200830:2210,0.0,0.0,14.27,1.86,0.0
5831,20200830:2310,0.0,0.0,14.12,1.79,0.0
5832,20200831:0010,0.0,0.0,13.93,1.86,0.0
5833,20200831:0110,0.0,0.0,13.59,1.86,0.0
5834,20200831:0210,0.0,0.0,13.52,1.72,0.0
5835,20200831:0310,0.0,0.0,13.4,1.52,0.0
5836,20200831:0410,0.0,0.0,13.11,1.38,0.0
5837,20200831:0510,7.78,4.32,12.83,1.31,0.0
5838,20200831:0610,28.27,13.92,13.27,1.1,0.0
5839,20200831:0710,43.32,23.41,14.64,1.1,0.0
5840,20200831:0810,112.63,32.33,15.65,0.41,0.0
5841,20200831:0910,68.86,40.08,16.82,0.28,0.0
5842,20200831:1010,87.1,45.8,18.27,0.83,0.0
5843,20200831:1110,152.31,48.51,18.84,1.03,0.0
5844,20200831:1210,155.5,47.57,19.59,1.03,0.0
5845,20200831:1310,148.2,43.22,20.14,1.1,0.0
5846,20200831:1410,128.59,36.35,20.13,1.17,0.0
5847,20200831:1510,98.04,27.91,20.12,0.62,0.0
5848,20200831:1610,63.38,18.64,19.56,1.31,0.0
5849,20200831:1710,40.21,9.05,18.48,2.55,0.0
5850,20200831:1810,0.0,0.0,17.35,2.62,0.0
5851,20200831:1910,0.0,0.0,16.58,2.07,0.0
5852,20200831:2010,0.0,0.0,15.72,2.28,0.0
5853,20200831:2110,0.0,0.0,15.0,1.93,0.0
5854,20200831:2210,0.0,0.0,14.71,1.72,0.0
5855,20200831:2310,0.0,0.0,14.22,1.86,0.0
5856,20200901:0010,0.0,0.0,14.04,2.0,0.0
5857,20200901:0110,0.0,0.0,13.98,1.93,0.0
5858,20200901:0210,0.0,0.0,14.0,1.86,0.0
5859,20200901:0310,0.0,0.0,13.95,1.79,0.0
5860,20200901:0410,0.0,0.0,13.75,1.72,0.0
5861,20200901:0510,23.15,4.1,13.45,1.72,0.0
5862,20200901:0610,37.39,13.7,13.83,1.66,0.0
5863,20200901:0710,81.17,23.18,14.16,1.72,0.0
5864,20200901:0810,97.13,32.08,15.01,2.14,0.0
5865,20200901:0910,121.75,39.8,15.73,2.0,0.0
5866,20200901:1010,146.83,45.48,17.0,2.21,0.0
5867,20200901:1110,120.39,48.15,18.58,2.48,0.0
