,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
747,w160032153,131.7784823913127,mfh,33280.5830460264,36978.42560669599,41600.72880753299,r1,-59674.180333323864,-70112.74058499557,-10438.560251671704,0.12572805290234687,-79.21293417748336
748,w160032155,131.65618118494749,mfh,35735.73683110539,39706.37425678376,44669.67103888173,r1,-64076.42561593286,-75285.05262626751,-11208.627010334654,0.12572805290234687,-85.13559264330355
749,w160032156,597.6746075108182,mfh,132442.87152465855,147158.7461385095,165553.58940582318,r2,-218604.57598509843,-256844.18019860287,-38239.60421350444,0.11573569236600313,-63.98064052405353
750,w160032157,145.99030133634804,mfh,60813.104262836816,67570.11584759646,76016.38032854602,r2,-100375.52582994178,-117933.80594902314,-17558.280119081362,0.11573569236600313,-120.27018204879735
751,w160032158,192.3817300193943,mfh,48999.4212986581,54443.80144295344,61249.27662332262,r1,-87859.04678294843,-103227.87042452097,-15368.82364157254,0.12572805290234687,-79.88712670388807
752,w160032159,156.72131929650496,mfh,31125.77639074567,34584.19598971741,38907.22048843208,r1,-55810.47636056485,-65573.17468185081,-9762.698321285963,0.12572805290234687,-62.2933648409102
753,w160032160,462.61881872685626,other,75404.82137541808,83783.13486157564,94256.02671927259,nr2,-116312.23354338709,-136664.73989624527,-20352.50635285818,0.11573569236600313,-43.99411681710013
754,w160032161,876.0951372385025,trade,148630.1956827035,165144.66186967053,185787.74460337934,nr2,-229262.66141228005,-269379.41981952055,-40116.7584072405,0.11573569236600313,-45.790413280560614
755,w160032162,197.75498196221892,mfh,48054.5497200408,53393.94413337867,60068.187150050995,r1,-86164.83256511869,-101237.29424422659,-15072.461679107902,0.12572805290234687,-76.21786075653708
756,w160032163,355.37988740094,mfh,90818.1407041022,100909.04522678022,113522.67588012775,r2,-149900.5640079235,-176122.0564593662,-26221.492451442697,0.11573569236600313,-73.78440193454048
757,w160032164,218.83437259588393,mfh,48231.05719768094,53590.06355297882,60288.82149710117,r1,-86481.32158324409,-101609.14539160521,-15127.823808361121,0.12572805290234687,-69.12910265837124
758,w160032165,192.38173281145282,mfh,28881.279006404795,32090.310007116437,36101.59875800599,r1,-51785.951264787625,-60844.65587452233,-9058.704609734705,0.12572805290234687,-47.087134923630465
759,w160032166,8270.503770525009,other,822595.0652656173,913994.516961797,1028243.8315820217,nr2,-1268856.1234892488,-1490882.6595418374,-222026.5360525886,0.11573569236600313,-26.84558791253588
760,w160032167,119.51807446111924,mfh,32505.77078134887,36117.523090387636,40632.21347668608,r1,-58284.89317020855,-68480.43110170681,-10195.537931498264,0.12572805290234687,-85.30540654597814
761,w160032168,107.41719602905214,th,34163.45814861617,37959.39794290686,42704.32268577021,r1,-61257.230967108786,-71972.70779023417,-10715.476823125384,0.12572805290234687,-99.75569293604785
763,w160032170,37.81535124108195,sfh,5542.705113828211,6158.561237586901,6928.381392285264,r1,-9938.419168906728,-11676.906178221692,-1738.4870093149639,0.12572805290234687,-45.97304936378064
764,w160032171,82.13437312801835,th,22814.26199453822,25349.179993931357,28517.827493172776,r1,-40907.40785853871,-48063.173371963094,-7155.765513424383,0.12572805290234687,-87.12266546761224
765,w160032172,100.39566505721304,th,37461.62208836611,41624.024542629006,46827.02761045763,r1,-67171.04652248268,-78921.00290858197,-11749.956386099293,0.12572805290234687,-117.03649136049131
766,w160032173,149.7480967778829,mfh,26251.638840314226,29168.48760034914,32814.54855039278,r1,-47070.84091753137,-55304.750562707,-8233.909645175627,0.12572805290234687,-54.98507041053585
767,w160032174,119.65868240431882,mfh,30326.017208544774,33695.57467616086,37907.52151068096,r1,-54376.457803982325,-63888.30912542196,-9511.851321439637,0.12572805290234687,-79.49152648446952
768,w160032175,69.26172256879508,th,24909.686443542283,27677.429381713646,31137.108054427852,r1,-44664.63579747814,-52477.63782426241,-7813.00202678427,0.12572805290234687,-112.80403860911642
769,w160032176,103.52918697646818,th,32386.0343970107,35984.48266334522,40482.54299626337,r1,-58070.19829597589,-68228.18053139446,-10157.982235418574,0.12572805290234687,-98.11708690156571
770,w160032177,62.96843930834439,th,23612.54439490292,26236.160438781022,29515.68049362865,r1,-42338.77845232913,-49744.92776830082,-7406.149315971692,0.12572805290234687,-117.61684738135556
771,w160032178,300.84989367914386,mfh,75700.01139645591,84111.1237738399,94625.01424556988,r2,-124947.22217124645,-146803.72861386993,-21856.506442623475,0.11573569236600313,-72.64920780039702
772,w160127708,318.335366258584,mfh,77272.90932076209,85858.7881341801,96591.13665095261,r2,-127543.38064963442,-149854.02247456505,-22310.64182493063,0.11573569236600313,-70.08533826181187
773,w160127710,130.057766958978,mfh,31010.51817593093,34456.13130658992,38763.147719913664,r1,-55603.81112617759,-65330.358343434506,-9726.547217256913,0.12572805290234687,-74.78636181970431
774,w160127712,223.93035372253507,mfh,51044.40475813311,56716.005286814565,63805.50594766639,r2,-84251.72551839383,-98989.53520792113,-14737.809689527305,0.11573569236600313,-65.81425628339984
775,w160127717,149.4986190713942,mfh,47358.813173533796,52620.90352614866,59198.516466917245,r1,-84917.33314230735,-99771.57485063045,-14854.241708323098,0.12572805290234687,-99.36039409989027
776,w160127718,161.62649620659647,mfh,25864.634467604395,28738.48274178266,32330.793084505494,r1,-46376.91771627818,-54489.44221454682,-8112.524498268642,0.12572805290234687,-50.19303572539825
777,w160127719,242.7560603125021,mfh,53933.120234615024,59925.689149572245,67416.40029326877,r2,-89019.71653677299,-104591.57139033561,-15571.854853562618,0.11573569236600313,-64.14610137236873
778,w164087844,70.24407002975931,other,22304.102448812264,24782.33605423585,27880.12806101533,nr1,-37373.053150507665,-43912.65159599431,-6539.598445486648,0.12572303637728258,-93.09822797449107
